tie no#home team#score#away team#attendance
1#blackpool#3 - 0#tamworth#4796
2#darlington#3 - 3#yeovil town#3698
replay#yeovil town#1 - 0#darlington#5365
3#barnet#1 - 2#bath city#2147
4#bristol city#1 - 1#brentford#10000
replay#brentford#1 - 1#bristol city#3706
5#bury#5 - 2#vauxhall motors#2566
6#histon#2 - 0#shrewsbury town#2843
7#rochdale#2 - 1#oxford united#2333
8#notts county#2 - 1#woking#4562
9#stafford rangers#0 - 2#chester city#2492
10#swindon town#4 - 1#sheffield wednesday#6160
11#stockport county#3 - 1#huddersfield town#3479
12#wycombe wanderers#1 - 0#coalville town#2816
13#bristol rovers#1 - 1#carlisle#5658
replay#carlisle united#1 - 0#bristol rovers#4813
14#northampton town#1 - 0#barnsley#4876
15#bradford city#0 - 1#rushden & diamonds#4171
16#hull city#3 - 2#morecambe#10129
17#southend united#0 - 3#luton town#6683
18#exeter city#1 - 0#grimsby town#3378
19#scunthorpe united#2 - 0#chesterfield#4869
20#mansfield town#1 - 1#colchester united#3202
replay#colchester united#4 - 1#mansfield town#2492
21#alfreton town#1 - 1#macclesfield town#2251
replay#macclesfield town#2 - 0#alfreton town#1783
22#port vale#3 - 1#kidderminster harriers#4141
23#halifax town#3 - 1#cambridge united#2368
24#cheltenham town#1 - 3#swansea city#4551
25#southport#1 - 3#hereford united#2045
26#hayes#0 - 4#wrexham#1751
27#tiverton town#1 - 3#doncaster rovers#1618
28#boston united#5 - 2#hornchurch#2437
29#peterborough united#2 - 1#tranmere rovers#2940
30#leyton orient#3 - 1#dagenham & redbridge#4155
31#slough town#2 - 1#walsall#2023
32#cambridge city#2 - 1#leigh rmi#930
33#forest green rovers#1 - 1#bournemouth#1837
replay#bournemouth#3 - 1#forest green rovers#5489
34#hartlepool united#3 - 0#lincoln city#4533
35#billericay town#0 - 1#stevenage borough#1804
36#yeading#2 - 1#halesowen town#524
37#aldershot town#4 - 0#canvey island#2600
38#hinckley united#2 - 0#torquay united#2129
39#thurrock#0 - 1#oldham athletic#1156
40#milton keynes dons#1 - 0#lancaster city#2065
