player#team#date#opposition#game
jimmy crampton#tipperary#may 20#waterford#munster quarter - final
mick culligan#clare#june 24#limerick#munster semi - final
seán hehir#clare#june 24#limerick#munster semi - final
séamus horgan#limerick#june 24#clare#munster semi - final
ger loughnane#clare#june 24#limerick#munster semi - final
michael o'connor#clare#june 24#limerick#munster semi - final
noel ryan#clare#june 24#limerick#munster semi - final
tim ryan#clare#june 24#limerick#munster semi - final
joe mckenna#limerick#june 24#clare#munster semi - final
john buckley#cork#july 1#tipperary#munster semi - final
noel dunne#cork#july 1#tipperary#munster semi - final
pat moylan#cork#july 1#tipperary#munster semi - final
tom ryan#limerick#july 29#tipperary#munster final
brian cody#kilkenny#september 2#limerick#all - ireland final
