res#record#opponent#method#event#round#time#location
win#9 - 4#heather clark#decision (split)#bellator 94#3#5:00#tampa , florida , united states
win#8 - 4#patricia vidonic#decision (unanimous)#bellator 84#3#5:00#hammond , indiana , united states
win#7 - 4#simona soukupova#decision (unanimous)#xfc 19: charlotte showdown#3#5:00#charlotte , north carolina , united states
win#6 - 4#patricia vidonic#decision (unanimous)#xfc 17: apocalypse#3#5:00#jackson , tennessee , united states
loss#5 - 4#carla esparza#decision (unanimous)#xfc 15: tribute#3#5:00#tampa , florida , united states
win#5 - 3#nicdali rivera - calanoc#decision (unanimous)#xtreme fighting organization 39#3#5:00#hoffman estates , illinois , united states
win#4 - 3#andrea miller#tko (punches)#chicago cagefighting championship 3#1#3:30#villa park , illinois , united states
loss#3 - 3#barb honchak#decision (unanimous)#hoosier fight club 6: new years nemesis#3#5:00#valparaiso , indiana , united states
win#3 - 2#amanda lavoy#submission (armbar)#xtreme fighting organization 37#1#3:35#chicago , illinois , united states
win#2 - 2#jessica rakoczy#decision (split)#bellator 14#3#5:00#chicago , illinois , united states
win#1 - 2#michele gutierrez#submission (armbar)#unconquered 1: november reign#2#2:03#coral gables , florida , united states
loss#0 - 2#valerie coolbaugh#decision (split)#xtreme fighting organization 29#3#5:00#lakemoor , illinois , united states
loss#0 - 1#iman achhal#decision (split)#uwc : man o war#3#5:00#fairfax , virginia , united states
