res#record#opponent#method#event#round#time#location
loss#10 - 6#per eklund#submission (rear naked choke)#ufc 89#3#1:47#birmingham , england
loss#10 - 5#clay guida#tko (punches)#ufc fight night 13#1#4:15#broomfield , colorado , united states
win#10 - 4#paul jenkins#submission (arm - triangle choke)#cage rage - contenders#1#4:06#dublin , ireland
win#9 - 4#mark dayrell#tko (punch)#cage rage - contenders 5#1#0:08#dublin , ireland
win#8 - 4#chris stringer#ko (punches)#cage wars#1#0:18#belfast , northern ireland
win#7 - 4#bruno freitas#tko (strikes)#climax fighting championships 2#1#0:35#bercy , france
win#6 - 4#sami berik#submission (rear naked choke)#cage warriors#1#2:32#coventry , england
win#5 - 4#christophe bea#submission (triangle choke)#climax fighting championships 1#1#2:45#bercy , france
loss#4 - 4#eiji mitsuoka#submission (rear naked choke)#gcm - dog 3#1#2:12#tokyo , japan
loss#4 - 3#jean silva#submission (triangle choke)#cage rage 9: no mercy#1#4:40#london , england
loss#4 - 2#robbie olivier#submission (rear naked choke)#cage rage 7: battle of britain#1#2:34#london , england
win#4 - 1#paul sutherland#tko (punches)#cage rage 5: valentine 's brawl#1#0:14#london , england
loss#3 - 1#jean silva#submission (arm triangle choke)#cwfc 2 - fists of fury#3#3:47#london , england
win#3 - 0#brian woodward#submission (rear naked choke)#cwfc 1 - armageddon#1#0:22#portsmouth , england
win#2 - 0#stephane jamet#submission (guillotine choke)#french mma open#1#0:29#paris , france
win#1 - 0#shinya tsuchida#decision (majority)#golden trophy 2000#3#5:00#orlãans , france
