position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real valladolid#30#40#19#2#9#70#38#+ 32
2#cd sabadell cf#30#39#16#7#7#55#35#+ 20
3#sd indautxu#30#35#14#7#9#46#35#+ 11
4#cd condal#30#32#14#4#12#51#41#+ 10
5#cd basconia#30#32#12#8#10#37#43#- 6
6#baracaldo ah#30#31#12#7#11#38#36#+ 2
7#deportivo la coruña#30#30#13#4#13#54#49#+ 5
8#club sestao#30#30#11#8#11#41#36#+ 5
9#real santander#30#30#13#4#13#39#35#+ 4
10#club ferrol#30#27#11#5#14#43#47#- 4
11#real avilés cf#30#27#11#5#14#40#43#- 3
12#cd tarrasa#30#27#12#3#15#40#56#- 16
13#deportivo alavés#30#27#10#7#13#34#43#- 9
14#rayo vallecano#30#26#11#4#15#39#46#- 7
15#gerona cf#30#25#11#3#16#43#64#- 21
16#real unión club#30#22#8#6#16#34#57#- 23
