team#season#played#lost#1 st#2 nd#3 rd#4 th#debut#since / last app#best
barcelona#30#1273#316#14#9#4#1#1983 - 84#1983 - 84#1
real madrid#30#1234#340#9#6#6#2#1983 - 84#1983 - 84#1
baskonia#30#1175#433#3#4#4#4#1983 - 84#1983 - 84#1
joventut badalona#30#1141#460#2#4#5#4#1983 - 84#1983 - 84#1
estudiantes#30#1142#511#-#1#5#7#1983 - 84#1983 - 84#2
baloncesto málaga#28#1070#452#1#2#3#4#1983 - 84#1987 - 88#1
valencia bc#24#901#408#-#1#-#1#1988 - 89#1983 - 84#2
cb valladolid#29#998#569#-#-#-#-#1983 - 84#2009 - 10#6
bàsquet manresa#26#936#524#1#-#-#2#1983 - 84#2007 - 08#1
cdb sevilla#24#873#461#-#2#-#-#1989 - 90#1989 - 90#2
cb gran canaria#22#807#437#-#-#-#1#1985 - 86#1995 - 96#4
cb girona#20#731#401#-#-#-#-#1988 - 89#2007 - 08#5
cb zaragoza#13#473#203#-#-#2#3#1983 - 84#1995 - 96#3
cb breogán#16#604#362#-#-#-#-#1984 - 85#2005 - 06#6
baloncesto fuenlabrada#15#522#310#-#-#-#-#1996 - 97#2005 - 06#7
baloncesto león#11#398#219#-#-#-#-#1990 - 91#2007 - 08#6
cb peñas huesca#12#441#268#-#-#-#-#1983 - 84#1995 - 96#10
cb murcia#15#534#364#-#-#-#-#1990 - 91#2011 - 12#12
granollers eb#10#352#186#-#-#-#-#1983 - 84#1992 - 93#5
cb cáceres#11#388#225#-#-#-#-#1992 - 93#2002 - 03#5
bilbao basket#9#322#165#-#1#-#-#2004 - 05#2004 - 05#2
club ourense baloncesto#12#383#240#-#-#-#-#1989 - 90#2000 - 01#8
cb oar ferrol#10#350#210#-#-#-#-#1983 - 84#1993 - 94#7
cb granada#12#411#271#-#-#-#-#1996 - 97#2010 - 11#10
cb lucentum alicante#9#316#184#-#-#-#-#2000 - 01#2011 - 12#6
cb 1939 canarias#8#283#172#-#-#-#-#1983 - 84#2012 - 13#6
cb collado villalba#5#226#133#-#-#-#-#1987 - 88#1991 - 92#8
cd oximesa#6#225#143#-#-#-#-#1986 - 87#1991 - 92#11
cb maristas de málaga#4#160#84#-#-#-#-#1988 - 89#1991 - 92#13
cb cajabilbao#5#184#108#-#-#-#-#1986 - 87#1990 - 91#9
rcd espanyol#5#165#92#-#-#-#-#1984 - 85#1988 - 89#8
gipuzkoa bc#6#205#133#-#-#-#-#2006 - 07#2008 - 09#5
bc andorra#4#147#81#-#-#-#-#1992 - 93#1995 - 96#8
basket zaragoza 2002#4#140#77#-#-#1#-#2008 - 09#2010 - 11#3
ce lleida bàsquet#4#140#83#-#-#-#-#2001 - 02#2004 - 05#8
cantabria baloncesto#5#170#117#-#-#-#-#1997 - 98#2001 - 02#14
menorca bàsquet#5#168#117#-#-#-#-#2005 - 06#2011 - 12#15
círculo católico#3#97#48#-#-#-#1#1983 - 84#1985 - 86#4
cd cajamadrid#3#98#52#-#-#-#-#1983 - 84#1985 - 86#5
obradoiro cab#3#104#65#-#-#-#-#2009 - 10#2011 - 12#8
gijón baloncesto#4#144#107#-#-#-#-#1995 - 96#2001 - 02#15
cb salamanca#2#76#40#-#-#-#-#1994 - 95#1995 - 96#9
tenerife ab#2#89#61#-#-#-#-#1988 - 89#1989 - 90#22
cb llíria#2#79#52#-#-#-#-#1991 - 92#1992 - 93#16
tenerife baloncesto#2#68#43#-#-#-#-#2003 - 04#2004 - 05#10
cb l'hospitalet#1#31#20#-#-#-#-#1983 - 84#1983 - 84#15
cb ciudad de huelva#1#39#28#-#-#-#-#1997 - 98#1997 - 98#17
askatuak sbt#1#43#33#-#-#-#-#1988 - 89#1988 - 89#24
