position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#pontevedra cf#30#41#16#9#5#44#31#+ 13
2#rcd español#30#39#17#5#8#40#24#+ 16
3#real santander#30#37#15#7#8#53#39#+ 14
4#real sociedad#30#35#14#7#9#77#44#+ 33
5#real gijón#30#34#16#2#12#50#46#+ 4
6#rc celta de vigo#30#32#13#6#11#47#31#+ 16
7#cd orense#30#31#14#3#13#43#37#+ 6
8#deportivo alavés#30#30#12#6#12#43#46#- 3
9#sd indauchu#30#30#11#8#11#46#42#+ 4
10#burgos cf#30#29#12#5#13#39#47#- 8
11#ud salamanca#30#27#10#7#13#40#46#- 6
12#cd constancia#30#26#11#4#15#42#51#- 9
13#up langreo#30#25#8#9#13#33#42#- 9
14#atlético baleares#30#23#9#5#16#37#51#- 14
15#cd basconia#30#21#9#3#18#31#65#- 34
16#cd sabadell cf#30#20#8#4#18#43#66#- 23
