debut year#player#date of birth#games#goals#years at club
1970#kevin higgins#20 february 1951#128#35#1970 , 1972 - 1978
1970#stewart palfreyman#30 december 1948#37#3#1970 - 1971
1970#jim wright#26 september 1949#20#5#1970 - 1972
1970#tim colley#8 august 1950#6#1#1970 - 1971
1970#jeff kline#13 may 1950#22#3#1970 - 1973
1970#phil evans#23 january 1950#27#8#1970 - 1971
1970#robert adams#6 june 1949#20#5#1970 - 1971
1970#bruce nankervis#14 august 1950#253#80#1970 - 1983
1970#peter linke#13 march 1949#10#0#1970 - 1971
1970#doug stephenson#8 may 1951#10#7#1970 - 1972
1970#shane mccarthy#22 april 1952#3#0#1970 - 1971
1971#david e. clarke#31 december 1952#202#298#1971 - 1974 , 1976 - 1981
1971#peter n. stephens#21 june 1950#35#28#1971 - 1973
1971#peter brown#15 june 1949#6#3#1971
1971#rod stokes#14 july 1952#10#1#1971 - 1972
1971#michael woolnough#24 september 1952#117#42#1971 - 1978
1971#warwick yates#24 april 1951#21#0#1971 - 1973
1971#brian martella#28 november 1951#1#0#1971
1971#tim evans#13 august 1953#59#26#1971 - 1974
1971#john friend#24 february 1953#1#0#1971
1971#rod blake#15 june 1952#176#113#1971 - 1983
1971#ray haynes#24 november 1947#2#0#1971
1971#graeme linke#17 november 1951#38#0#1971 - 1974
1972#david barkley#14 june 1950#55#77#1972 - 1976
1972#terry mayne#24 december 1950#19#20#1972 - 1973
1972#greg wells#8 december 1952#4#1#1972 - 1973
1972#garry davidson#2 october 1954#30#16#1972 - 1974
1972#robert whatman#29 january 1951#34#17#1972 - 1974
1972#greg lindquist#31 january 1954#8#0#1972 - 1973
1972#ivan russell#13 october 1952#13#2#1972 - 1973
1972#paul sarah#19 december 1953#128#204#1972 - 1980
1972#chris lynch#23 september 1953#5#2#1972 , 1974
1973#larry donohue#22 april 1955#105#339#1973 - 1980
1973#jack hawkins#21 may 1954#182#20#1973 - 1981
1973#harvey davis#3 april 1953#44#5#1973 - 1977
1973#michael hawkins#18 september 1951#2#0#1973
1973#ian lewtas#25 february 1954#15#4#1973 - 1976
1974#mark browne#19 november 1954#87#60#1974 - 1978
1974#ricky browne#26 august 1950#25#14#1974 - 1975
1974#leigh crawford#19 april 1946#31#6#1974 - 1975
1974#keith j. miller#14 february 1953#2#0#1974
1974#john preen#15 march 1955#32#23#1974 - 1977
1974#peter doyle#27 may 1955#38#15#1974 - 1976 , 1978
1974#barry eddy#1 september 1952#14#0#1974 - 1975
1974#rex deeath#3 september 1949#13#2#1974 - 1975
1974#kevin sheehan#8 january 1953#102#112#1974 - 1982
1974#michael turner#12 june 1954#245#285#1974 - 1984 , 1986 - 1988
1974#david armour#23 july 1954#19#14#1974 - 1976
1974#rex hunt#3 july 1949#32#44#1974 - 1975
1974#jeff cassidy#27 september 1956#50#20#1974 - 1980
1974#robert neal#16 december 1956#200#51#1974 - 1986
1974#doug scale#24 january 1954#11#0#1974 - 1975
1975#alan woodman#6 july 1955#58#2#1975 - 1979
1975#murray gilmour#28 november 1950#7#0#1975
1975#bryan cousins#29 december 1953#67#46#1975 - 1979
1975#david scott#2 june 1955#1#0#1975
1975#phil baker#22 march 1952#9#9#1975
1975#bruce thomson#10 january 1955#2#1#1975
1975#graeme landy#31 may 1954#54#31#1975 - 1978 , 1987 - 1988
1976#terry bright#2 december 1958#219#331#1976 - 1987
1976#david manson#2 november 1951#38#13#1976 - 1978
1976#murray witcombe#11 january 1956#121#79#1976 - 1986
1976#colin nish#14 december 1955#10#0#1976 - 1977
1977#gary malarkey#23 may 1953#172#0#1977 - 1986
1977#andy mcgillivray#19 february 1954#6#4#1977
1977#peter ruscuklic#15 december 1955#4#1#1977
1977#ray card#4 april 1957#110#4#1977 - 1985 , 1987
1977#john brimacombe#7 december 1953#3#0#1977
1977#andy preston#16 august 1957#58#13#1977 - 1981
1977#jeff fehring#21 april 1956#19#1#1977 - 1979
1977#gerard fitzgerald#25 july 1957#3#4#1977
1977#paul jeffreys#3 october 1959#91#23#1977 - 1985
1977#wayne hovey#13 july 1956#6#10#1977
1977#robert steven#5 january 1957#1#0#1977
1978#tom floyd#10 july 1960#47#38#1978 , 1980 - 1982
1978#malcolm reed#2 november 1958#81#18#1978 - 1985
1978#russell koehler#1 september 1959#1#1#1978
1978#neville bruns#10 march 1958#223#174#1978 - 1992
1978#craig dowsett#2 september 1960#8#0#1978 - 1979 , 1981
1978#kelvin matthews#15 december 1953#58#70#1978 - 1982
1979#john burns#8 october 1949#17#10#1979
1979#glenn middlemiss#6 august 1956#34#29#1979 - 1981
1979#john mossop#14 june 1959#134#87#1979 - 1986
1979#john durnan#7 november 1957#1#0#1979
1979#peter johnston#13 november 1957#92#108#1979 - 1986
1979#mark bos#28 july 1960#195#16#1979 - 1989
1979#peter featherby#12 december 1951#93#79#1979 - 1983
1979#mario bortolotto#26 june 1957#14#2#1979 - 1980
1979#greg nichols#1 june 1959#1#0#1979
