season#games#lost#tied#points#goals for#goals against#standing
1998 - 99#70#25#3#87#315#255#3rd , dilio
1999 - 2000#72#40#8#52#227#311#4th , maritime
2000 - 01#72#38#4#63#239#281#3rd , maritime
2001 - 02#72#18#4#99#257#225#1st , maritime
2002 - 03#72#21#4#95#276#189#2nd , atlantic
2003 - 04#70#49#3#39#184#314#5th , atlantic
2004 - 05#70#42#7#46#163#244#5th , atlantic
2005 - 06#70#19#-#94#291#223#2nd , eastern
2006 - 07#70#28#-#77#291#269#5th , eastern
2007 - 08#70#25#-#86#289#241#3rd , eastern
2008 - 09#68#35#-#53#187#256#5th , atlantic
2009 - 10#68#37#-#56#208#286#5th , atlantic
2010 - 11#68#21#-#91#261#197#2nd , maritimes
