date#tournament#surface#partnering#opponents#score
4 july 2005#mantova , italy#clay#alessandro motti#salvador navarro óscar serrano#5 - 7 , 6 - 3 , 6 - 3
2 august 2005#saransk , russia#clay#simon stadler#konstantin kravchuk alexander kudryavtsev#7 - 6 (7 - 2) , 4 - 6 , 7 - 6 (7 - 3)
19 september 2005#banja luka , bosnia and herzegovina#clay#rainer eitzinger#jeroen masson stefan wauters#4 - 6 , 6 - 3 , 6 - 3
25 september 2006#bratislava , slovak republic#clay#marcel granollers#david marrero pablo santos#7 - 6 (7 - 2) , 6 - 4
9 october 2006#barcelona , spain#clay#tomas behrend#pablo andújar marcel granollers#6 - 3 , 6 - 2
26 march 2007#napoli , italy#clay#marcel granollers#marco crugnola alessio di mauro#6 - 4 , 6 - 2
30 april 2007#rome , italy#clay#marcel granollers#stefano galvani manuel jorquera#3 - 6 , 6 - 1 ,
1 january 2008#nouméa , new caledonia#hard#simone vagnozzi#jan mertl martin slanar#6 - 4 , 6 - 4
11 february 2008#belgrade , serbia#carpet#konstantinos economidis#alessandro motti filip polášek#4 - 6 , 6 - 2 ,
24 march 2008#barletta , italy#clay#marcel granollers#oliver marach michal mertiňák#6 - 3 , 2 - 6 ,
28 april 2008#rome , italy#clay#simone vagnozzi#paolo lorenzi giancarlo petrazzuolo#6 - 3 , 6 - 3
27 may 2008#alessandria , italy#clay#simone vagnozzi#matwé middelkoop melle van gemerden#3 - 6 , 6 - 1 ,
13 october 2008#tashkent , uzbekistan#hard#pavel šnobel#michail elgin alexandre kudryavtsev#6 - 3 , 6 - 4
28 february 2010#meknes , morocco#clay#pablo andújar#alexandr dolgopolov artem smirnov#6 - 2 , 6 - 2
12 september 2010#braşov , romania#clay#daniele giorgini#radu albot andrej ciumac#6 - 3 , 6 - 4
19 september 2010#todi , italy#clay#alessio di mauro#marcel granollers gerard granollers - pujol#6 - 1 , 6 - 4
3 april 2011#barranquilla , colombia#hard#paolo lorenzi#alejandro falla eduardo struvay#6 - 3 , 6 - 4
