player#club#league#fa cup#fa trophy#league cup#total
paul dobson#gateshead#25#3#4#2#34
karl thomas#runcorn#23#0#5#2#30
paul adcock#bath city#17#4#1#0#22
terry robbins#welling united#17#0#2#2#21
mickey spencer#yeovil town#16#0#1#1#18
clive walker#woking#16#0#3#0#19
david gamble#southport#15#2#2#0#19
david leworthy#dover athletic#15#1#1#3#20
carl alford#macclesfield town#14#3#2#6#25
paul davies#kidderminster harriers#14#1#0#3#18
morrys scott#slough town#14#2#1#0#17
recky carter#bromsgrove rovers#13#3#2#0#18
jamie paterson#halifax town#13#0#2#1#16
delwyn humphreys#kidderminster harriers#13#3#0#1#17
