driver#car#make#points#laps#winnings
dale earnhardt , jr#8#chevrolet#185#400#239166
denny hamlin#11#chevrolet#175#400#165200
kevin harvick#29#chevrolet#175#400#169386
greg biffle#16#ford#165#400#143300
kyle busch#5#chevrolet#160#400#113600
tony stewart#20#chevrolet#150#400#139661
carl edwards#99#ford#146#400#100100
ryan newman#12#dodge#142#400#120658
sterling marlin#14#chevrolet#138#400#96783
clint bowyer#7#chevrolet#134#400#91025
mark martin#6#ford#135#400#94525
jimmie johnson#48#chevrolet#127#400#118361
elliott sadler#38#ford#124#400#106808
scott riggs#10#dodge#121#400#69250
jeff burton#31#chevrolet#118#399#98270
ken schrader#21#ford#115#399#97564
casey mears#42#dodge#112#399#104833
jeff green#66#chevrolet#109#399#93363
jamie mcmurray#26#ford#106#399#112200
dave blaney#22#dodge#103#399#85808
dale jarrett#88#ford#100#399#100675
jj yeley#18#chevrolet#97#399#102950
reed sorenson#41#dodge#94#399#77025
bobby labonte#43#dodge#91#399#104761
kenny wallace#178#chevrolet#88#398#64875
kyle petty#45#dodge#85#398#87108
travis kvapil#32#chevrolet#82#398#76772
joe nemechek#1#chevrolet#79#398#93445
kurt busch#2#dodge#76#397#105008
tony raines#96#chevrolet#73#397#64300
michael waltrip#55#dodge#70#397#66175
jeremy mayfield#19#dodge#67#397#93541
david stremme#40#dodge#64#397#72375
kasey kahne#9#dodge#61#396#100514
mike wallace#49#dodge#58#395#63175
scott wimmer#4#chevrolet#55#389#63025
brian vickers#25#chevrolet#52#387#70900
matt kenseth#17#ford#49#351#109016
robby gordon#7#chevrolet#46#345#62650
jeff gordon#24#chevrolet#43#286#110861
martin truex jr#1#chevrolet#40#285#70385
kevin lepage#61#ford#37#89#62260
derrike cope#74#dodge#34#11#62473
