year#drivers#races#wins#poles#fl#points#dc#tc
2005#neel jani#23#2#1#0#48#7th#5th
2005#borja garcia#22#0#0#0#17.5#14th#5th
2006#adam carroll#21#0#0#0#33#8th#7th
2006#javier villa#21#0#0#0#0#26th#7th
2007#javier villa#21#3#0#0#42#5th#6th
2007#sérgio jimenez#5#0#0#0#4#24th#6th
2007#ernesto viso#3#0#0#0#0#29th#6th
2007#filipe albuquerque#2#0#0#0#0#32nd#6th
2007#marcos martinez ucha#8#0#0#0#5#22nd#6th
2008#javier villa#20#0#0#0#8#17th#4th
2008#giorgio pantano#20#4#4#4#76#1st#4th
2009#lucas di grassi#20#1#1#1#63#3rd#4th
2009#dani clos#20#0#0#0#4#21st#4th
2010#dani clos#20#1#1#1#51#4th#4th
2010#christian vietoris#18#1#0#0#29#9th#4th
2010#ho - pin tung#2#0#0#0#0#28th#4th
2011#dani clos#18#0#0#0#30#9th#3rd
2011#christian vietoris#14#2#1#2#35#7th#3rd
2011#álvaro parente#4#0#0#0#8#16th#3rd
2012#fabio leimer#24#0#1#2#152#7th#4th
2012#nathanaël berthon#24#0#0#0#60#12th#4th
