date#h / a / n#opponent#score#record
march 1#a#boston celtics#105 - 115#20 - 50
march 4#a#houston rockets#130 - 123#21 - 50
march 7#n#san francisco warriors#112 - 119#21 - 51
march 10#a#los angeles lakers#98 - 132#21 - 52
march 12#a#atlanta hawks#114 - 135#21 - 53
march 14#a#baltimore bullets#127 - 118 (ot)#22 - 53
march 16#h#baltimore bullets#101 - 105#22 - 54
march 18#h#chicago bulls#91 - 109#22 - 55
march 19#h#atlanta hawks#105 - 115#22 - 56
march 22#h#los angeles lakers#124 - 120#23 - 56
march 24#h#houston rockets#119 - 127#23 - 57
march 25#a#new york knicks#83 - 98#23 - 58
march 26#h#cincinnati royals#122 - 135#23 - 59
