nat#name#since#goals#ends#transfer fee
sco#allan mcgregor#1998#0#2013#youth system
usa#maurice edu#2008#2#2013#2.6 m
sco#david weir ( captain )#2007 (winter)#5#2010#free
esp#carlos cuéllar#2007#5#2011#2.37 m
por#pedro mendes#2008#4#2011#3 m
bih#saša papac#2006#2#2011#0.45 m
sco#barry ferguson#2005 (winter)#61#2010#4.5 m
alg#brahim hemdani#2005#2#2009#free
sco#kevin thomson#2007 (winter)#3#2011#2 m
sco#kris boyd#2005 (winter)#102#2010#0.4 m
esp#nacho novo#2004#64#2010#0.45 m
sco#charlie adam#2003#18#2012#youth system
sco#lee mcculloch#2007#7#2011#2.25 m
sco#steven naismith#2008#5#2012#1.9 m
sco#alan gow#2007#0#2010#free
sco#graeme smith#2007#0#2010#free
sco#chris burke#2000#14#2009#youth system
sco#kenny miller#2008#24#2011#2 m
fra#jean - claude darcheville#2007#16#2009#free
usa#damarcus beasley#2007#5#2010#0.7 m
sco#kirk broadfoot#2007#1#2010#free
sco#andy webster#2008#1#2011#0.4 m
sco#christian dailly#2008 (winter)#2#2009#free
alg#madjid bougherra#2008#1#2012#2.5 m
sco#neil alexander#2008 (winter)#0#2011#free
sco#steven smith#2002#1#2010#youth system
nir#kyle lafferty#2008#9#2013#3.25 m
sco#steven whittaker#2007#8#2012#2 m
gab#daniel cousin#2007#13#2010#1.1 m
esp#aarón ñíguez#2008#2#2010#loan
nir#steven davis#2008#8#2012#3 m
lit#andrius velička#2008#5#2011#1 m
sco#rory loy#2006#0#2011#0.025 m
sco#john fleck#2007#1#2011#youth system
nir#andrew little#2006#0#2011#youth system
