version#length#album#remixed by#year
album version#4:45#anamorphosée , les mots#-#1995
single version#4:23#-#laurent boutonnat#1995
no voice remix edit#4:20#-#laurent boutonnat , bertrand chtenet#1995
extra large remix#5:02#-#laurent boutonnat , bertrand chtenet#1995
distorded dance mix#5:20#-#laurent boutonnat , bertrand chtenet#1995
new remix edit#4:25#-#laurent boutonnat , bertrand chtenet#1995
single dance mix#4:25#-#laurent boutonnat , bertrand chtenet#1995
new remix edit (germany)#4:43#-#laurent boutonnat , bertrand chtenet#1995
german radio edit#3:54#-#laurent boutonnat , bertrand chtenet#1995
music video#4:22#music videos ii , music videos ii & iii#-#1995
uk remix#9:00#-#richard dekkard#1996
live version (recorded in 1996)#7:25#live à bercy#-#1996
jxl remix#6:06#remixes#junkie xl#2003
live version (recorded in 2006)#5:28#avant que l'ombre#-#2006
live version (recorded in 2009)#4:30#n degree5 on tour#-#2009
