place#player#country#score#to par
1#ben hogan#united states#72 + 73 + 72 = 217#+ 7
t2#julius boros#united states#76 + 69 + 73 = 218#+ 8
t2#sam snead#united states#79 + 69 + 70 = 218#+ 8
t4#tommy bolt#united states#67 + 77 + 75 = 219#+ 9
t4#bob rosburg#united states#78 + 74 + 67 = 219#+ 9
t6#jack fleck#united states#76 + 69 + 75 = 220#+ 10
t6#harvie ward (a)#united states#74 + 70 + 76 = 220#+ 10
t6#jack burke , jr#united states#71 + 77 + 72 = 220#+ 10
9#walker inman , jr#united states#70 + 75 + 76 = 221#+ 11
10#gene littler#united states#76 + 73 + 73 = 222#+ 12
