ltsr no#ltsr name#builder#built#mr no#lms 1930 no#br no#withdrawn
37#woodgrange#ss 4245#1897#2146#2135#41953#1951
38#westcliff#ss 4246#1897#2147#2136#41954#1951
39#forest gate#ss 4247#1897#2148#2137#41955#1951
40#benfleet#ss 4248#1897#2149#2138#41956#1951
41#leytonstone#ss 4249#1897#2150#2139#41957#1951
42#east horndon#ss 4250#1897#2151#2140#41958#1951
43#great ilford#dübs 3666#1898#2152#2141#41959#1951
44#prittlewell#dübs 3667#1898#2153#2142#41960#1951
45#shoeburyness#dübs 3668#1898#2154#2143#41961#1952
46#southchurch#dübs 3669#1898#2155#2144#41962#1951
47#stratford#dübs 3670#1898#2156#2145#41963#1951
