res#record#opponent#method#event#round#time#location
loss#17 - 6#mikhail zayats#submission (kimura)#bellator 103#1#0:47#mulvane , kansas , united states
loss#17 - 5#james te - huna#tko (punches)#ufc on fx : alves vs kampmann#1#2:08#sydney , australia
win#17 - 4#matt lucas#decision (majority)#ufc on fox : velasquez vs dos santos#3#5:00#anaheim , california , united states
loss#16 - 4#joey beltran#tko (punches)#ufc 131#3#1:26#vancouver , british columbia , canada
win#16 - 3#abe wagner#submission (rear - naked choke)#titan fc 17: lashley vs ott#2#0:35#kansas city , kansas , united states
win#15 - 3#devin cole#decision (unanimous)#shark fights 13#3#5:00#amarillo , texas , united states
win#14 - 3#jay peche#tko (punches)#abg : promotions#1#4:47#san antonio , texas , united states
win#13 - 3#robert villegas#decision (unanimous)#bellator 20#3#5:00#san antonio , texas , united states
loss#12 - 3#rafael cavalcante#tko (punches)#strikeforce challengers : woodley vs bears#2#3:25#kansas city , kansas , united states
win#12 - 2#anthony ruiz#technical submission (rear - naked choke)#strikeforce challengers : evangelista vs aina#1#4:29#fresno , california , united states
win#11 - 2#ron fields#tko (punches)#adrenaline mma : guida vs russow#2#0:34#chicago , illinois , united states
loss#10 - 2#jaime fletcher#decision (unanimous)#shoxc#3#5:00#santa ynez , california , united states
loss#10 - 1#jared hamman#submission (rear - naked choke)#shoxc#2#1:46#santa ynez , california , united states
win#10 - 0#jefferson silva#tko (doctor stoppage)#shoxc#1#5:00#santa ynez , california , united states
win#9 - 0#matt thomas#decision (split)#world cage fighting 1#3#3:00#southhaven , mississippi , united states
win#8 - 0#corey salter#tko (punches)#jjl promotions : sudden impact 1#3#0:10#san antonio , texas , united states
win#7 - 0#jesse vasquez#tko (punches)#renegades extreme fighting#2#0:10#houston , texas , united states
win#6 - 0#anthony trotter#tko (punches)#nle : ultimate fright night#2#n / a#bossier city , louisiana , united states
win#5 - 0#robert masko#decision (unanimous)#renegades extreme fighting#4#5:00#houston , texas , united states
win#4 - 0#lance ramoth#submission (rear - naked choke)#renegades extreme fighting#4#0:28#houston , texas , united states
win#3 - 0#patrick miller#submission (rear - naked choke)#renegades extreme fighting#1#0:44#houston , texas , united states
win#2 - 0#matt thompson#decision (unanimous)#renegades extreme fighting#3#5:00#austin , texas , united states
win#1 - 0#shane faulkner#decision (unanimous)#renegades extreme fighting#3#5:00#houston , texas , united states
