heat#lane#name#nationality#time
5#4#ryan lochte#united states#1:58.15
4#4#lászló cseh#hungary#1:58.29
5#5#thiago pereira#brazil#1:58.41
4#6#ken takakuwa#japan#1:58.51
4#7#bradley ally#barbados#1:58.57
6#4#michael phelps#united states#1:58.65
5#7#alessio boggiatto#italy#1:58.80
6#2#takuro fujii#japan#1:59.19
5#1#keith beavers#canada#1:59.19
6#1#darian townsend#south africa#1:59.22
6#6#vytautas janušaitis#lithuania#1:59.63
3#1#gal nevo#israel#1:59.66
6#5#james goddard#great britain#1:59.74
4#5#liam tancock#great britain#1:59.79
5#6#leith brodie#australia#1:59.96
4#3#dinko jukić#austria#2:00.57
5#3#tamás kerékjártó#hungary#2:00.60
6#3#brian johns#canada#2:00.66
6#7#diogo carvalho#portugal#2:00.66
3#6#mihail alexandrov#bulgaria#2:00.70
5#2#dean kent#new zealand#2:01.12
6#8#alexander tikhonov#russia#2:01.21
3#5#ioannis kokkodis#greece#2:01.22
3#8#jeremy knowles#bahamas#2:01.35
2#6#gard kvale#norway#2:01.52
4#2#łukasz wójt#poland#2:01.54
2#3#miguel molina#philippines#2:01.61
2#4#vadym lepskyy#ukraine#2:01.73
3#7#saša imprić#croatia#2:01.83
1#7#omar pinzón#colombia#2:02.28
2#2#tomáš fučík#czech republic#2:02.85
1#5#chris christensen#denmark#2:02.93
4#1#brenton cabello#spain#2:03.08
3#4#qu jingyu#china#2:03.15
4#8#martin liivamägi#estonia#2:03.56
2#5#nicholas bovell#trinidad and tobago#2:03.90
3#3#dmitriy gordiyenko#kazakhstan#2:03.92
1#1#andrejs dūda#latvia#2:04.18
5#8#robin van aggele#netherlands#2:04.33
3#2#markus deibler#germany#2:04.54
1#2#mehdi hamama#algeria#2:04.91
2#8#serkan atasay#turkey#2:05.25
2#1#leopoldo andara#venezuela#2:05.71
1#4#park beom - ho#south korea#2:06.17
1#3#iurii zakharov#kyrgyzstan#2:07.01
1#6#danil bugakov#uzbekistan#2:10.04
2#7#andrew bree#ireland#dns
