episode#1 season#2 season#3 season#4 season#5 season#6 season
1#2 585 169 (5 september 2007)#3 077 507 (5 march 2008)#2 362 818 (3 september 2008)#3 145 066 (3 march 2009)#3 299 051 (3 march 2010)#3 074 536 (2 march 2011)
2#3 005 117 (12 september 2007)#3 527 331 (12 march 2008)#2 464 142 (10 september 2008)#3 451 307 (10 march 2009)#4 132 714 (10 march 2010)#3 376 435 (9 march 2011)
3#3 157 210 (19 september 2007)#3 685 660 (19 march 2008)#3 132 212 (17 september 2008)#3 273 440 (17 march 2009)#3 729 185 (17 march 2010)#3 240 345 (16 march 2011)
4#2 839 520 (26 september 2007)#2 965 419 (26 march 2008)#2 995 715 (24 september 2008)#2 916 761 (25 march 2009)#3 425 014 (24 march 2010)#3 296 694 (23 march 2011)
5#2 354 477 (3 october 2007)#3 168 673 (2 april 2008)#3 139 541 (1 october 2008)#2 378 640 (1 april 2009)#3 320 209 (31 march 2010)#3 162 112 (30 march 2011)
6#2 436 386 (10 october 2007)#3 267 513 (9 april 2008)#3 790 015 (8 october 2008)#2 523 118 (8 april 2009)#3 212 078 (7 april 2010)#3 116 088 (6 april 2011)
7#2 752 179 (17 october 2007)#3 135 031 (16 april 2008)#3 393 677 (15 october 2008)#2 318 115 (22 april 2009)#2 720 927 (21 april 2010)#3 047 739 (13 april 2011)
8#2 717 525 (24 october 2007)#2 949 739 (23 april 2008)#2 983 528 (22 october 2008)#2 404 531 (29 april 2009)#2 378 343 (28 april 2010)#2 352 393 (20 april 2011)
9#2 710 372 (31 october 2007)#2 616 401 (30 april 2008)#2 609 340 (29 october 2008)#2 195 119 (6 may 2009)#2 727 223 (5 may 2010)#2 294 207 (27 april 2011)
10#3 149 694 (7 november 2007)#2 692 353 (7 may 2008)#2 691 547 (5 november 2008)#2 101 043 (13 may 2009)#2 540 376 (12 may 2010)#2 512 383 (4 may 2011)
11#3 192 178 (14 november 2007)#2 741 304 (14 may 2008)#3 625 397 (12 november 2008)#2 195 767 (20 may 2009)#2 744 185 (19 may 2010)#2 497 440 (11 may 2011)
12#2 876 019 (21 november 2007)#2 525 034 (21 may 2008)#2 970 667 (19 november 2008)#2 151 985 (27 may 2009)#3 013 932 (26 may 2010)#2 497 440 (18 may 2011)
13#4 386 793 (2 december 2007)#3 020 502 (28 may 2008)#3 523 767 (26 november 2008)#2 628 383 (3 june 2009)#2 827 035 (2 june 2010)#2 344 082 (25 may 2011)
14#-#3 196 605 (5 june 2008)#2 970 536 (3 december 2008)#-#-#2 414 215 (1 june 2011)
average#2 959 699#2 999 123#2 765 374#2 510 193#2 997 082#2 687 398
