week#date#opponent#time ( et )#result
1#sunday september 12#oakland raiders#4:00 pm#l 31 - 28
2#sunday september 19#cleveland browns#1:00 pm#w 31 - 14
3#sunday september 26#new england patriots#1:00 pm#l 30 - 27
4#monday october 4#minnesota vikings#9:00 pm#l 17 - 6
5#sunday october 10#cleveland browns#1:00 pm#l 18 - 16
6#sunday october 17#cincinnati bengals#1:00 pm#w 23 - 6
7#sunday october 24#new york giants#1:00 pm#w 27 - 0
8#sunday october 31#san diego chargers#1:00 pm#w 23 - 0
9#sunday november 7#kansas city chiefs#1:00 pm#w 45 - 0
10#sunday november 14#miami dolphins#1:00 pm#w 14 - 3
11#sunday november 21#houston oilers#1:00 pm#w 32 - 16
12#sunday november 28#cincinnati bengals#1:00 pm#w 7 - 3
13#sunday december 5#tampa bay buccaneers#1:00 pm#w 42 - 0
14#saturday december 11#houston oilers#1:00 pm#w 21 - 0
