position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#ca osasuna#30#46#21#4#5#83#25#+ 58
2#rc celta de vigo#30#40#17#6#7#56#30#+ 26
3#deportivo la coruña#30#36#15#6#9#68#47#+ 21
4#cd orense#30#36#14#8#8#45#36#+ 9
5#pontevedra cf#30#31#11#9#10#39#40#- 1
6#cd sabadell cf#30#31#11#9#10#30#40#- 10
7#cultural leonesa#30#30#11#8#11#39#42#- 3
8#cd basconia#30#29#14#1#15#41#57#- 16
9#san sebastián cf#30#29#11#7#12#51#50#+ 1
10#ud salamanca#30#29#11#7#12#42#36#+ 6
11#sd indauchu#30#27#12#3#15#46#59#- 13
12#cd condal 1#30#26#8#10#12#44#49#- 5
13#real gijón#30#25#10#5#15#41#53#- 12
14#club sestao#30#24#8#8#14#35#51#- 16
15#baracaldo ah#30#22#7#8#15#33#51#- 18
16#cd tarrasa#30#19#5#9#16#33#60#- 27
