place#player#country#score#to par#money
1#henry picard#united states#71 + 72 + 72 + 70 = 285#- 3#1500
t2#harry cooper#united states#68 + 77 + 71 + 71 = 287#- 1#700
t2#ralph guldahl#united states#73 + 70 + 73 + 71 = 287#- 1#700
4#paul runyan#united states#71 + 73 + 74 + 70 = 288#e#500
5#byron nelson#united states#73 + 74 + 70 + 73 = 290#+ 2#400
t6#ed dudley#united states#70 + 69 + 77 + 75 = 291#+ 3#275
t6#felix serafin#united states#72 + 71 + 78 + 70 = 291#+ 3#275
t8#dick metz#united states#70 + 77 + 74 + 71 = 292#+ 4#175
t8#jimmy thomson#scotland united states#74 + 70 + 76 + 72 = 292#+ 4#175
t10#vic ghezzi#united states#75 + 74 + 70 + 74 = 293#+ 5#100
t10#jimmy hines#united states#75 + 71 + 75 + 72 = 293#+ 5#100
t10#lawson little#united states#72 + 75 + 74 + 72 = 293#+ 5#100
