no in series#no in season#title#directed by#written by#original air date#production code
33#1#mac and dennis : manhunters#fred savage#charlie day & jordan young & elijah aron#september 18 , 2008#ip04002
34#2#the gang solves the gas crisis#matt shakman#charlie day & sonny lee & patrick walsh#september 18 , 2008#ip04009
36#4#mac 's banging the waitress#fred savage#david hornsby#september 25 , 2008#ip04011
37#5#mac and charlie die (part 1)#fred savage & matt shakman#charlie day & glenn howerton & rob mcelhenney#october 2 , 2008#ip04003
38#6#mac and charlie die (part 2)#fred savage#charlie day & glenn howerton & rob mcelhenney#october 2 , 2008#ip04004
39#7#who pooped the bed#fred savage#rob mcelhenney & scott marder & rob rosell#october 9 , 2008#ip04007
40#8#paddy 's pub : the worst bar in philadelphia#matt shakman#scott marder & rob rosell & david hornsby#october 16 , 2008#ip04012
41#9#dennis reynolds : an erotic life#fred savage#glenn howerton & rob rosell & scott marder#october 23 , 2008#ip04005
42#10#sweet dee has a heart attack#matt shakman#rob rosell & scott marder#october 30 , 2008#ip04013
43#11#the gang cracks the liberty bell#matt shakman#rob mcelhenney & glenn howerton & david hornsby#november 6 , 2008#ip04010
44#12#the gang gets extreme : home makeover edition#fred savage#charlie day & glenn howerton & david hornsby#november 13 , 2008#ip04001
