date#opponent#score#loss#attendance#record
september 1#braves#4 - 1#mcmurtry (8 - 14)#28821#81 - 54
september 2#braves#4 - 2#mahler (9 - 9)#26106#82 - 54
september 3#phillies#4 - 3#martin (1 - 2)#28162#83 - 54
september 4#phillies#7 - 2#carlton (11 - 7)#25054#84 - 54
september 5#expos#3 - 1#trout (12 - 6)#12623#84 - 55
september 6#expos#4 - 1#lea (15 - 10)#13089#85 - 55
september 7#mets#10 - 0#ruthven (5 - 10)#46301#85 - 56
september 8#mets#6 - 0#terrell (10 - 11)#42810#86 - 56
september 9#mets#5 - 1#frazier (5 - 3)#34956#86 - 57
september 10#phillies#3 - 2#koosman (14 - 12)#26083#87 - 57
september 11#phillies#6 - 3#smith (9 - 6)#28964#87 - 58
september 12#expos#11 - 5#smith (11 - 12)#20976#88 - 58
september 14#mets#7 - 1#darling (12 - 7)#32403#89 - 58
september 15#mets#5 - 4#fernandez (4 - 6)#38653#90 - 58
september 16#mets#9 - 3#trout (12 - 7)#38936#90 - 59
september 18#pirates#6 - 2#eckersley (8 - 8)#30721#90 - 60
september 19#pirates#11 - 6#stoddard (10 - 6)#31585#90 - 61
september 20#pirates#7 - 6#smith (9 - 7)#33651#90 - 62
september 21#cardinals#8 - 0#sanderson (8 - 5)#36847#90 - 63
september 23#cardinals#8 - 1#ownbey (0 - 3)#0#91 - 63
september 23#cardinals#4 - 2#andujar (19 - 14)#46083#92 - 63
september 24#pirates#4 - 1#mcwilliams (11 - 11#5472#93 - 63
september 25#pirates#7 - 1#patterson (0 - 1)#4068#93 - 64
september 26#pirates#5 - 2#tunnell (1 - 7)#3365#94 - 64
september 28#cardinals#4 - 1#bordi (5 - 2)#31021#94 - 65
september 29#cardinals#9 - 5#cox (9 - 11)#33954#95 - 65
september 30#cardinals#2 - 1#sutter (5 - 7)#33100#96 - 65
