#average population (x 1000)#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)
1980#3 628#107 278#30 460#76 818#29.6#8.4#21.2
1981#3 699#113 434#29 591#83 843#30.7#8.0#22.7
1982#3 775#117 235#29 194#88 041#31.1#7.7#23.3
1983#3 857#120 708#30 241#90 467#31.3#7.8#23.5
1984#3 937#126 075#32 603#93 472#32.0#8.3#23.7
1985#4 014#128 460#32 332#96 128#32.0#8.1#23.9
1986#4 093#133 728#29 083#104 645#32.7#7.1#25.6
1987#4 173#136 588#30 597#105 991#32.7#7.3#25.4
1988#4 250#133 710#31 879#101 831#31.5#7.5#24.0
1989#4 327#131 508#31 156#100 352#30.4#7.2#23.2
1990#4 395#128 810#30 580#98 230#29.3#7.0#22.4
1991#4 464#129 536#30 859#98 677#29.0#6.9#22.1
1992#4 515#128 352#32 163#96 189#28.4#7.1#21.3
1993#4 515#116 795#34 513#82 282#25.9#7.6#18.2
1994#4 513#110 113#37 109#73 004#24.4#8.2#16.2
1995#4 560#117 340#36 915#80 425#25.7#8.1#17.6
1996#4 628#108 007#34 562#73 445#23.3#7.5#15.9
1997#4 696#102 050#34 540#67 510#21.7#7.4#14.4
1998#4 769#104 183#34 596#69 587#21.8#7.3#14.6
1999#4 837#104 068#32 850#71 218#21.5#6.8#14.7
2000#4 888#96 770#34 111#62 659#19.8#7.0#12.8
2001#4 927#98 138#32 677#65 461#19.9#6.6#13.3
2002#4 965#101 012#35 235#65 777#20.3#7.1#13.2
2003#5 011#105 490#35 941#69 549#21.1#7.2#13.9
2004#5 065#109 939#35 061#74 878#21.7#6.9#14.8
2005#5 116#109 839#36 992#72 847#21.5#7.2#14.2
2006#5 164#120 737#38 566#82 171#23.4#7.5#15.9
2007#5 207#123 251#38 180#85 071#23.7#7.3#16.3
2008#5 250#127 332#37 710#89 622#24.3#7.2#17.1
2009#5 383#135 494#35 898#99 596#25.2#6.7#18.5
2010#5 448#146 123#36 174#109 949#26.8#6.6#20.2
