week#date#opponent#location#time ( et )#result#record
1#sun sep 2#kansas city chiefs#three rivers stadium#1:00 pm#l 37 - 27#0 - 1
2#thu sep 6#new york jets#giants stadium#9:00 pm#w 23 - 17#1 - 1
3#sun sep 16#los angeles rams#three rivers stadium#1:00 pm#w 24 - 14#2 - 1
4#sun sep 23#cleveland browns#cleveland municipal stadium#1:00 pm#l 20 - 10#2 - 2
5#mon oct 1#cincinnati bengals#three rivers stadium#9:00 pm#w 38 - 17#3 - 2
6#sun oct 7#miami dolphins#three rivers stadium#1:00 pm#l 31 - 7#3 - 3
7#sun oct 14#san francisco 49ers#candlestick park#4:00 pm#w 20 - 17#4 - 3
8#sun oct 21#indianapolis colts#hoosier dome#1:00 pm#l 17 - 16#4 - 4
9#sun oct 28#atlanta falcons#three rivers stadium#1:00 pm#w 35 - 10#5 - 4
10#sun nov 4#houston oilers#three rivers stadium#1:00 pm#w 35 - 7#6 - 4
11#sun nov 11#cincinnati bengals#riverfront stadium#1:00 pm#l 22 - 20#6 - 5
12#mon nov 19#new orleans saints#louisiana superdome#9:00 pm#l 27 - 24#6 - 6
13#sun nov 25#san diego chargers#three rivers stadium#1:00 pm#w 52 - 24#7 - 6
14#sun dec 2#houston oilers#astrodome#1:00 pm#l 23 - 20 ot#7 - 7
15#sun dec 9#cleveland browns#three rivers stadium#1:00 pm#w 23 - 20#8 - 7
16#sun dec 16#los angeles raiders#los angeles memorial coliseum#4:00 pm#w 13 - 7#9 - 7
