res#record#opponent#method#event#round#time#location
win#13 - 0#roy nelson#decision (unanimous)#ufc 166#3#5:00#houston , texas , united states
win#12 - 0#frank mir#decision (unanimous)#ufc on fox : henderson vs melendez#3#5:00#san jose , california , united states
win#11 - 0#dion staring#tko (punches)#strikeforce : marquardt vs saffiedine#2#4:02#oklahoma city , oklahoma , united states
win#10 - 0#josh barnett#decision (unanimous)#strikeforce : barnett vs cormier#5#5:00#san jose , california , united states
win#9 - 0#antonio silva#ko (punches)#strikeforce : barnett vs kharitonov#1#3:56#cincinnati , ohio , united states
win#8 - 0#jeff monson#decision (unanimous)#strikeforce : overeem vs werdum#3#5:00#dallas , texas , united states
win#7 - 0#devin cole#decision (unanimous)#strikeforce challengers : woodley vs saffiedine#3#5:00#nashville , tennessee , united states
win#6 - 0#soa palelei#submission (punches)#xmma 3#1#2:23#sydney , new south wales , australia
win#5 - 0#jason riley#submission (punches)#strikeforce : houston#1#1:02#houston , texas , united states
win#4 - 0#tony johnson#submission (rear naked choke)#kotc : imminent danger#1#2:27#mescalero , new mexico , united states
win#3 - 0#lucas browne#tko (punches)#xmma 2#1#4:35#sydney , new south wales , australia
win#2 - 0#john devine#ko (punch)#strikeforce challengers : johnson vs mahe#1#1:19#fresno , california , united states
win#1 - 0#gary frazier#tko (punches)#strikeforce challengers : kennedy vs cummings#2#3:39#bixby , oklahoma , united states
