player#position#gp (gs)#minutes#goals#assists
rhett harty#defender#34 (34)#2845#1#1
peter vermes#midfielder#33 (33)#2970#1#1
tony meola#goalkeeper#32 (32)#2880#0#0
giovanni savarese#striker#29 (16)#1702#14#1
tab ramos#midfielder#28 (28)#2428#3#10
nicola caricola#defender#28 (28)#2357#2#0
miles joseph#midfielder#27 (26)#2197#4#5
jeff zaun#defender#24 (22)#1795#0#0
matt knowles#midfielder#24 (17)#1767#0#0
aj wood#striker#23 (15)#1232#5#2
cristian da silva#midfielder#22 (13)#1268#0#0
rob johnson#striker#21 (12)#1236#4#3
roberto donadoni#midfielder#20 (20)#1800#3#10
damian silvera#midfielder#17 (9)#953#0#1
chris unger#midfielder#16 (12)#1029#1#1
ted gillen#defender#16 (10)#852#0#0
antony de ávila#striker#11 (10)#920#8#3
mickey kydes#midfielder#11 (7)#556#0#0
edmundo rodriguez#striker#11 (5)#473#0#1
rubén darío hernández#striker#10 (9)#836#0#3
ian hennessy#midfielder#8 (4)#311#1#1
manny lagos#midfielder#6 (6)#483#0#2
andrew restrepo#defender#5 (4)#343#0#0
chris brauchle#midfielder#5 (3)#323#0#0
