place#player#country#score#to par
1#phil mickelson#united states#67 + 67 = 134#- 10
2#justin leonard#united states#71 + 66 = 137#- 7
t3#mark brooks#united states#68 + 70 = 138#- 6
t3#kenny perry#united states#66 + 72 = 138#- 6
t3#vijay singh#fiji#69 + 69 = 138#- 6
t6#lee janzen#united states#68 + 71 = 139#- 5
t6#nick price#zimbabwe#68 + 72 = 139#- 5
t8#mike brisky#united states#71 + 69 = 140#- 4
t8#russ cochran#united states#68 + 72 = 140#- 4
t8#david edwards#united states#69 + 71 = 140#- 4
t8#brad faxon#united states#72 + 68 = 140#- 4
t8#jim furyk#united states#70 + 70 = 140#- 4
t8#greg norman#australia#68 + 72 = 140#- 4
t8#jesper parnevik#sweden#73 + 67 = 140#- 4
t8#tommy tolles#united states#69 + 71 = 140#- 4
t8#tom watson#united states#69 + 71 = 140#- 4
t8#ian woosnam#wales#68 + 72 = 140#- 4
