outcome#date#tournament#surface#partner#opponents in the final#score in the final
winner#december 7 , 1987#guarujá#hard#cheryl jones#jill hetherington mercedes paz#6 - 4 , 4 - 6 , 6 - 4
winner#march 7 , 1988#boca raton#hard#zina garrison#claudia kohde - kilsch helena suková#4 - 6 , 7 - 5 , 6 - 4
runner - up#april 11 , 1988#amelia island#clay#penny barg#zina garrison eva pfaff#4 - 6 , 6 - 2 , 7 - 6 (5)
winner#april 18 , 1988#houston#clay#zina garrison#lori mcneil martina navratilova#6 - 7 (4) , 6 - 2 , 6 - 4
runner - up#october 24 , 1988#indianapolis#hard (i)#zina garrison#larisa savchenko natasha zvereva#6 - 2 , 6 - 1
winner#november 25 , 1988#tokyo#carpet#zina garrison#gigi fernández robin white#7 - 5 , 7 - 5
winner#january 30 , 1989#tokyo#carpet#zina garrison#gigi fernández claudia kohde - kilsch#6 - 3 , 3 - 6 , 7 - 6 (5)
winner#february 27 , 1989#san antonio#hard#pam shriver#patty fendick jill hetherington#3 - 6 , 6 - 1 , 6 - 4
winner#april 24 , 1989#houston#clay#zina garrison#gigi fernández lori mcneil#6 - 3 , 6 - 4
winner#may 22 , 1989#geneva#clay#lori mcneil#larisa savchenko natalia zvereva#2 - 6 , 6 - 3 , 6 - 4
winner#june 19 , 1989#eastbourne#grass#zina garrison#jana novotná helena suková#6 - 3 ret
winner#october 23 , 1989#brighton#carpet#lori mcneil#hana mandlíková jana novotná#4 - 6 , 7 - 6 (7) , 6 - 4
winner#october 30 , 1989#indianapolis#hard (i)#lori mcneil#claudia porwik larisa savchenko#6 - 4 , 6 - 4
runner - up#november 5 , 1990#indianapolis#hard (i)#jill hetherington#patty fendick meredith mcgrath#6 - 1 , 6 - 1
runner - up#february 18 , 1991#oklahoma city#hard (i)#jill hetherington#meredith mcgrath anne smith#6 - 2 , 6 - 4
runner - up#july 22 , 1991#westchester#hard#lori mcneil#rosalyn fairbank lise gregory#7 - 5 , 6 - 4
winner#august 5 , 1991#albuquerque#hard#isabelle demongeot#lise gregory peanut louie harper#6 - 7 (2) , 6 - 4 , 6 - 3
runner - up#november 11 , 1991#indianapolis#hard (i)#mercedes paz#patty fendick gigi fernández#6 - 4 , 6 - 2
runner - up#february 10 , 1992#chicago#carpet#zina garrison#martina navratilova pam shriver#6 - 4 , 7 - 6 (7)
runner - up#february 17 , 1992#oklahoma city#hard (i)#manon bollegraf#lori mcneil nicole bradtke#3 - 6 , 6 - 4 , 7 - 6 (6)
winner#november 9 , 1992#indianapolis#hard (i)#elna reinach#sandy collins mary - lou daniels#5 - 7 , 6 - 2 , 6 - 4
winner#february 8 , 1993#chicago#carpet#zina garrison#amy frazier kimberly po#7 - 6 (7) , 6 - 3
runner - up#february 15 , 1993#oklahoma city#hard (i)#manon bollegraf#patty fendick zina garrison#6 - 3 , 6 - 2
winner#march 22 , 1993#houston#clay#manon bollegraf#eugenia maniokova radomira zrubáková#6 - 3 , 5 - 7 , 7 - 6 (7)
runner - up#march 28 , 1993#hilton head#clay#manon bollegraf#gigi fernández natalia zvereva#6 - 3 , 6 - 1
winner#november 1 , 1993#quebec city#hard (i)#manon bollegraf#katerina maleeva nathalie tauziat#6 - 4 , 6 - 4
winner#november 8 , 1993#philadelphia#carpet#manon bollegraf#conchita martínez larisa neiland#6 - 2 , 4 - 6 , 7 - 6 (7)
runner - up#february 14 , 1994#oklahoma city#hard (i)#manon bollegraf#patty fendick meredith mcgrath#7 - 6 (3) , 6 - 2
runner - up#march 21 , 1994#houston#clay#zina garrison#manon bollegraf martina navratilova#6 - 4 , 6 - 2
runner - up#february 13 , 1995#oklahoma city#hard (i)#brenda schultz - mccarthy#nicole arendt laura golarsa#6 - 4 , 6 - 3
runner - up#october 30 , 1995#oakland#carpet#zina garrison#lori mcneil helena suková#3 - 6 , 6 - 4 , 6 - 3
runner - up#february 19 , 1996#oklahoma city#hard (i)#debbie graham#chanda rubin brenda schultz - mccarthy#6 - 4 , 6 - 3
winner#may 6 , 1996#budapest#clay#debbie graham#radka bobková eva melicharová#6 - 3 , 7 - 6 (3)
winner#may 13 , 1996#cardiff#clay#mariaan de swardt#els callens laurence courtois#6 - 0 , 6 - 4
winner#june 9 , 1997#birmingham#grass#larisa neiland#nathalie tauziat linda wild#6 - 2 , 6 - 3
runner - up#january 12 , 1998#sydney#hard#meredith mcgrath#martina hingis helena suková#6 - 1 , 6 - 2
