name#league#fa cup#league cup#other#total
shaun barker#45#5#1#4#55
ian evatt#44#5#1#4#54
keigan parker#45#4#1#4#54
michael jackson#43#5#1#3#52
wes hoolahan#42#3#1#3#49
andy morrell#40#4#1#3#48
keith southern#39#5#1#3#48
david fox#37#5#1#2#45
scott vernon#38#4#1#1#44
adrian forbes#34#5#0#4#43
rhys evans#32#5#1#1#39
claus bech jørgensen#31#4#0#4#39
simon gillett#31#0#0#3#34
ben burgess#27#3#0#2#32
danny coid#18#0#1#0#19
kaspars gorkšs#10#3#0#0#13
paul tierney#10#2#1#0#13
robbie williams#9#0#0#3#12
paul rachubka#8#0#0#3#11
marcus bean#6#2#1#1#10
carl dickinson#7#2#0#1#10
marc joseph#8#0#0#1#9
andy wilkinson#7#0#0#0#7
rory prendergast#5#0#1#0#6
chris brandon#5#0#0#0#5
joe hart#5#0#0#0#5
danny graham#4#0#0#0#4
matthew blinkhorn#2#0#0#1#3
gareth farrelly#1#1#0#0#2
vincent fernandez#1#1#0#0#2
jamie burns#0#0#0#0#0
kyle clancy#0#0#0#0#0
ciaran donnelly#0#0#0#1#1
lewis edge#1#0#0#0#1
lee jones#0#0#0#0#0
matty kay#0#0#0#0#0
