rank#nation#gold#silver#bronze#total
1#china (chn)#7#3#3#13
2#south korea (kor)#5#4#2#11
3#germany (ger)#4#2#3#9
4#france (fra)#3#6#5#14
5#slovakia (svk)#2#1#3#6
6#belgium (bel)#2#1#0#3
7#czech republic (cze)#1#2#0#3
7#poland (pol)#1#2#0#3
9#austria (aut)#1#1#0#2
10#netherlands (ned)#1#0#0#1
10#slovenia (slo)#1#0#0#1
12#sweden (swe)#0#2#2#4
13#chinese taipei (tpe)#0#1#2#3
14#great britain (gbr)#0#1#1#2
15#italy (ita)#0#1#0#1
16#denmark (den)#0#0#1#1
17#jordan (jor)#0#0#1#1
18#russia (rus)#0#0#1#1
19#serbia and montenegro (scg)#0#0#1#1
20#spain (esp)#0#0#1#1
21#united states (usa)#0#0#1#1
