no in series#no in season#family / families#location (s)#original air date
us94#1#the atkinson family#glen ellyn , il#5 november 2010
us95#2#the peterfreund family#chandler , az#12 november 2010
us96#3#the swift family#sacramento , ca#19 november 2010
us97#4#the youngs family#whidbey island , washington#3 december 2010
us98#5#the van acker family#oak view , ca#10 december 2010
us99#6#the fernandez family#kissimmee , fl#17 december 2010
us100#7#the george family#san antonio , tx#7 january 2011
us101#8#the miller family#phoenix , az#14 january 2011
us102#9#the colombo family#melbourne , fl#21 january 2011
us103#10#the potter family#rochester , ny#4 february 2011
us104#11#the merrill family#camp pendleton , ca#18 february 2011
us105#12#the demott family#bayville , nj#25 february 2011
us106#13#the froebrich family#fort mill , sc#4 march 2011
us107#14#the federico family#las vegas , nv#11 march 2011
