team#location#venue#capacity#position in 199394
dinamo minsk#minsk#dinamo , minsk#41040#1
dinamo - 93#minsk#dinamo , minsk#41040#2
dvina#vitebsk#central , vitebsk#8300#3
dnepr#mogilev#spartak , mogilev#11200#4
bobruisk#bobruisk#spartak , bobruisk#3550#5
torpedo minsk#minsk#torpedo , minsk#5200#6
shinnik#bobruisk#spartak , bobruisk#3550#7
dinamo brest#brest#dinamo , brest#10080#8
molodechno#molodechno#city stadium , molodechno#5500#9
lokomotiv#vitebsk#central , vitebsk#8300#10
neman#grodno#neman#6300#11
vedrich#rechytsa#central , rechytsa#3550#12
shakhtyor#soligorsk#stroitel#5000#13
torpedo mogilev#mogilev#torpedo , mogilev#3500#14
gomselmash#gomel#central , gomel#11800#15
obuvshchik#lida#city stadium , lida#4000#first league , 1
