game#date#opponent#score#location / attendance#record
29#january 2#seattle supersonics#l 88 - 111#the omni#13 - 16
game#date#opponent#score#location / attendance#record
30#january 4#toronto raptors#w 104 - 101 (ot)#the omni#14 - 16
31#january 6#charlotte hornets#l 90 - 96#charlotte coliseum#14 - 17
32#january 9#sacramento kings#w 104 - 88#the omni#15 - 17
33#january 11#toronto raptors#w 87 - 79#skydome#16 - 17
34#january 13#boston celtics#w 108 - 105#the omni#17 - 17
35#january 15#detroit pistons#w 96 - 88#the omni#18 - 17
36#january 17#indiana pacers#w 102 - 93#the omni#19 - 17
37#january 19#philadelphia 76ers#w 82 - 77#the spectrum#20 - 17
38#january 20#miami heat#w 98 - 78#the omni#21 - 17
39#january 22#houston rockets#w 105 - 96#the omni#22 - 17
40#january 23#cleveland cavaliers#w 84 - 72#gund arena#23 - 17
41#january 26#orlando magic#w 96 - 84#the omni#24 - 17
42#january 30#indiana pacers#l 90 - 107#market square arena#24 - 18
43#january 31#phoenix suns#l 84 - 120#the omni#24 - 19
