res#record#opponent#method#event#round#time#location
win#16 - 4 - 1#charles oliveira#decision (unanimous)#ufc 162#3#5:00#las vegas , nevada , united states
loss#15 - 4 - 1#josé aldo#decision (unanimous)#ufc 156#5#5:00#las vegas , nevada , united states
loss#15 - 3 - 1#benson henderson#decision (split)#ufc 150#5#5:00#denver , colorado , united states
loss#15 - 2 - 1#benson henderson#decision (unanimous)#ufc 144#5#5:00#saitama , japan
win#15 - 1 - 1#gray maynard#ko (punches)#ufc 136#4#3:54#houston , texas , united states
draw#14 - 1 - 1#gray maynard#draw (split)#ufc 125#5#5:00#las vegas , nevada , united states
win#14 - 1#bj penn#decision (unanimous)#ufc 118#5#5:00#boston , massachusetts , united states
win#13 - 1#bj penn#decision (unanimous)#ufc 112#5#5:00#abu dhabi , united arab emirates
win#12 - 1#matt veach#submission (rear - naked choke)#the ultimate fighter 10 finale#2#2:22#las vegas , nevada , united states
win#11 - 1#sean sherk#decision (unanimous)#ufc 98#3#5:00#las vegas , nevada , united states
win#10 - 1#hermes frança#decision (unanimous)#ufc : silva vs irvin#3#5:00#las vegas , nevada , united states
loss#9 - 1#gray maynard#decision (unanimous)#ufc fight night : florian vs lauzon#3#5:00#broomfield , colorado , united states
win#9 - 0#spencer fisher#decision (unanimous)#ufc 78#3#5:00#newark , new jersey , united states
win#8 - 0#mark bocek#tko (punches)#ufc 73#1#4:55#sacramento , california , united states
win#7 - 0#tyson griffin#decision (unanimous)#ufc 67#3#5:00#las vegas , nevada , united states
win#6 - 0#jim miller#decision (unanimous)#reality fighting 14#3#5:00#atlantic city , new jersey , united states
win#5 - 0#deividas taurosevičius#decision (unanimous)#rf 13: battle at the beach#3#5:00#wildwood , new jersey , united states
win#4 - 0#steve mccabe#submission (guillotine choke)#ring of combat 10#1#2:37#atlantic city , new jersey , united states
win#3 - 0#jay isip#technical submission (rear - naked choke)#sportfighting 2#1#3:26#hoboken , new jersey , united states
win#2 - 0#mark getto#tko (punches)#ring of combat 9#1#4:21#asbury park , new jersey , united states
win#1 - 0#eric uresk#tko (punches)#ucl : underground combat league#1#3:38#the bronx , new york , united states
