year#location#fans' choice award#male artist of the year#female artist of the year#group or duo of the year
2013#edmonton#terri clark#dean brody#kira isabella#the stellas
2012#saskatoon#johnny reid#dean brody#carolyn dawn johnson#hey romeo
2011#hamilton#johnny reid#johnny reid#terri clark#hey romeo
2010#edmonton#johnny reid#gord bamford#victoria banks#doc walker
2009#vancouver#johnny reid#johnny reid#crystal shawanda#doc walker
2008#winnipeg#doc walker#johnny reid#jessie farrell#doc walker
2007#regina#terri clark#brad johner#carolyn dawn johnson#emerson drive
2006#saint john#terri clark#george canyon#carolyn dawn johnson#the road hammers
2005#calgary#george canyon#george canyon#terri clark#the road hammers
2004#edmonton#terri clark#jason mccoy#terri clark#doc walker
2003#calgary#terri clark#aaron lines#shania twain#emerson drive
2002#calgary#terri clark#paul brandt#carolyn dawn johnson#emerson drive
2001#calgary#terri clark#jason mccoy#carolyn dawn johnson#the wilkinsons
2000#edmonton#the wilkinsons#paul brandt#michelle wright#the wilkinsons
1999#ottawa#shania twain#paul brandt#shania twain#the wilkinsons
1998#calgary#shania twain#paul brandt#shania twain#leahy
1997#hamilton#terri clark#paul brandt#terri clark#farmer 's daughter
1996#calgary#shania twain#charlie major#shania twain#prairie oyster
1995#edmonton#michelle wright#charlie major#shania twain#prairie oyster
1994#calgary#prairie oyster#charlie major#patricia conroy#prairie oyster
1993#hamilton#michelle wright#george fox#michelle wright#the rankin family
1992#calgary#rita macneil#ian tyson#michelle wright#prairie oyster
1991#hamilton#rita macneil#george fox#michelle wright#prairie oyster
1990#edmonton#kd lang#george fox#michelle wright#prairie oyster
1989#ottawa#kd lang#gary fjellgaard#kd lang#family brown
1988#toronto#kd lang#ian tyson#kd lang#family brown
1987#vancouver#kd lang#ian tyson#anita perras#family brown
1986#winnipeg#family brown#terry carisse#anita perras#family brown
1985#edmonton#dick damron#terry carisse#carroll baker#mercey brothers
1984#moncton#ronnie prophet#terry carisse#marie bottrell#family brown
1983#regina#family brown#dick damron#marie bottrell#family brown
1982#halifax#family brown#terry carisse#carroll baker#family brown
