rank#stadium#total capacity#seating capacity#location
1#aviva stadium#51700#51700#ballsbridge , dublin
2#thomond park#26500#15100#limerick , county limerick
3#dalymount park#10000 (4300 safe)#7947#phibsboro , dublin
4#tolka park#9680 (6000 safe)#9000#drumcondra , dublin
5#tallaght stadium#5947#5947#tallaght , dublin
6#turner 's cross#7485#7485#cork , county cork
7#carlisle grounds#7000#2000#bray , county wicklow
8#city calling stadium#6850#6850#longford , county longford
9#st colman 's park#6000#1350#cobh , county cork
10#finn park#6000#400#ballybofey , county donegal
11#the showgrounds#5500#4000#sligo , county sligo
12#richmond park#5340#2800#inchicore , dublin
13#eamonn deacy park#5000#3300#galway , county galway
14#oriel park#4500#3000#dundalk , county louth
15#waterford regional sports centre#3100#3100#waterford , county waterford
16#buckley park#3000#1850#kilkenny , county kilkenny
17#ucd bowl#3000#1500#belfield , dublin
18#mardyke arena#3000#1000#cork , county cork
19#station road#2500#850#newbridge , county kildare
20#jackman park#2450#261#limerick , county limerick
21#athlone town stadium#2100#2100#athlone , county westmeath
22#united park#2000#1500#drogheda , county louth
23#gortakeegan#2000#620#monaghan , county monaghan
24#ferrycarrig park#2000#609#crossabeg , county wexford
25#drom clubhouse#2000#0#drum east , county galway
26#celtic park#1500#550#castlebar , county mayo
27#leah victoria park#1500#0#tullamore , county offaly
28#hawkins lane#1000#75#tullow , county carlow
29#cahermoneen#1000#0#tralee , county kerry
30#irishtown stadium#1000#0#ringsend , dublin
31#fahy 's field#1000#0#galway , county galway
