player#squad no#appearances#tries#goals#f goals#points#contract ends
steve bannister#30#3#1#0#0#4#2009
luke burgess#27#3#0#0#0#0#2007
tony clubb#19#3#0#0#0#0#2008
matt gafa#18#20#8#0#0#32#2008
jon grayshon#20#17#3#0#0#12#2008
daniel heckenberg#10#14#2#0#0#8#2008
scott hill#6#18#5#0#0#20#2008
lee hopkins#12#22#3#0#0#12#2007
zebastian lucky luisi#25#3#0#0#0#0#2007
joe mbu#29#7#0#0#0#0#2007
louie mccarthy - scarsbrook#17#18#6#0#0#24#2007
mark mclinden#1#23#6#0#0#24#2009
david mills#15#20#0#0#0#0#2007
chris melling#16#19#6#0#0#24#2009
danny orr#7#23#3#0#0#12#2009
henry paul#23#16#2#23#0#54#2008
rob purdham#13#17#3#26#0#64#2009
chad randall#9#25#7#0#0#28#2009
julien rinaldi#14#24#4#0#0#16#2008
rikki sheriffe#28#5#2#0#0#8#2008
andy smith#24#12#5#0#0#20#2007
tyrone smith#4#24#5#0#0#20#2007
paul sykes#3#24#16#33#1#141#2009
karl temata#8#23#2#0#0#8#2008
david tootill#21#0#0#0#0#0#2008
richard villasanti#11#0#0#0#0#0#2008
joe walsh#26#4#0#0#0#0#2008
jon wells#2#22#6#0#0#24#2008
michael worrincy#22#12#1#0#0#4#2008
