round#date#home#result#visitor#venue#attendance
28#monday , december 1#södertälje sk#3 - 1#färjestads bk#axa sports center#3141
28#monday , december 1#skellefteå aik#2 - 2#brynäs if#skellefteå kraft arena#4704
28#monday , december 1#hv71#3 - 2#rögle bk#kinnarps arena#6865
28#tuesday , december 2#linköpings hc#3 - 3#djurgårdens if#cloetta center#6978
28#tuesday , december 2#luleå hf#2 - 1#frölunda hc#coop arena#5005
29#thursday , december 4#färjestads bk#5 - 3#luleå hf#löfbergs lila arena#5254
29#thursday , december 4#brynäs if#2 - 1 (ot)#linköpings hc#läkerol arena#4882
29#thursday , december 4#timrå ik#3 - 2 (ot)#hv71#e.on arena#5409
29#thursday , december 4#rögle bk#4 - 5 (ot)#södertälje sk#lindab arena#4534
29#thursday , december 4#djurgårdens if#0 - 2#skellefteå aik#hovet#3930
29#thursday , december 4#frölunda hc#6 - 1#modo hockey#scandinavium#11459
30#saturday , december 6#hv71#2 - 2#brynäs if#kinnarps arena#6982
30#saturday , december 6#södertälje sk#1 - 2#frölunda hc#axa sports center#3629
30#saturday , december 6#skellefteå aik#4 - 5 (ot)#modo hockey#skellefteå kraft arena#5676
30#saturday , december 6#timrå ik#5 - 2#rögle bk#e.on arena#5239
30#saturday , december 6#djurgårdens if#3 - 2#färjestads bk#hovet#5029
31#monday , december 8#hv71#5 - 6#linköpings hc#kinnarps arena#7038
31#monday , december 8#rögle bk#1 - 3#färjestads bk#lindab arena#4789
31#monday , december 8#frölunda hc#4 - 2#brynäs if#scandinavium#11582
31#tuesday , december 9#luleå hf#2 - 1#skellefteå aik#coop arena#5600
31#tuesday , december 9#södertälje sk#3 - 2#timrå ik#axa sports center#2858
32#thursday , december 11#linköpings hc#1 - 2#södertälje sk#cloetta center#6209
32#thursday , december 11#färjestads bk#2 - 3#hv71#löfbergs lila arena#5631
32#thursday , december 11#djurgårdens if#3 - 2 (ot)#luleå hf#hovet#3936
32#thursday , december 11#brynäs if#1 - 2 (ot)#modo hockey#läkerol arena#5354
32#thursday , december 11#timrå ik#4 - 3 (ot)#frölunda hc#e.on arena#5042
32#thursday , december 11#skellefteå aik#5 - 2#rögle bk#skellefteå kraft arena#4529
33#saturday , december 13#brynäs if#3 - 3#djurgårdens if#läkerol arena#7465
33#saturday , december 13#frölunda hc#0 - 2#skellefteå aik#scandinavium#10666
33#saturday , december 13#södertälje sk#1 - 2#luleå hf#axa sports center#3750
33#saturday , december 13#rögle bk#5 - 5#linköpings hc#lindab arena#4539
33#saturday , december 13#timrå ik#0 - 3#färjestads bk#e.on arena#4902
33#sunday , december 14#modo hockey#1 - 4#hv71#swedbank arena#5562
30#monday , december 15#linköpings hc#3 - 6#luleå hf#cloetta center#7464
34#friday , december 26#frölunda hc#3 - 2 (ot)#färjestads bk#scandinavium#12044
34#friday , december 26#hv71#3 - 2#södertälje sk#kinnarps arena#7038
34#friday , december 26#linköpings hc#5 - 3#brynäs if#cloetta center#8500
34#friday , december 26#djurgårdens if#3 - 1#rögle bk#hovet#7032
34#friday , december 26#skellefteå aik#1 - 3#timrå ik#skellefteå kraft arena#6001
34#friday , december 26#luleå hf#4 - 2#modo hockey#coop arena#5600
35#sunday , december 28#färjestads bk#4 - 1#djurgårdens if#löfbergs lila arena#8073
35#sunday , december 28#södertälje sk#2 - 1#skellefteå aik#axa sports center#3885
35#sunday , december 28#rögle bk#3 - 1#luleå hf#lindab arena#5007
35#sunday , december 28#brynäs if#4 - 6#hv71#läkerol arena#6202
35#sunday , december 28#timrå ik#1 - 1#linköpings hc#e.on arena#5781
35#sunday , december 28#modo hockey#1 - 3#frölunda hc#swedbank arena#7600
36#tuesday , december 30#luleå hf#2 - 1#färjestads bk#coop arena#5283
36#tuesday , december 30#brynäs if#4 - 1#rögle bk#läkerol arena#5765
36#tuesday , december 30#djurgårdens if#3 - 3#södertälje sk#hovet#6525
36#tuesday , december 30#linköpings hc#5 - 2#skellefteå aik#cloetta center#8046
36#tuesday , december 30#hv71#3 - 2#modo hockey#kinnarps arena#7038
36#tuesday , december 30#frölunda hc#2 - 1#timrå ik#scandinavium#11362
