coach#years#seasons#record#pct#nat titles
no coach#1897 - 1915 , 1917 - 1918#20#131 - 65 - 1#672#0
burke m dutch hermann#1916 - 1918 , 1919 - 32#15#148 - 73#670#0
hugo bezdek#1919#1#11 - 2#846#0
earl the spike leslie#1933 - 36#4#29 - 28#509#0
john lawther#1937 - 49#13#150 - 93#617#0
elmer gross#1949 - 54#5#80 - 40#667#0
john egli#1954 - 68#14#187 - 135#581#0
johnny bach#1968 - 78#10#122 - 121#501#0
dick harter#1978 - 83#5#79 - 61#564#0
bruce parkhill#1983 - 95#12#181 - 169#517#0
jerry dunn#1995 - 2003#8#117 - 121#492#0
ed dechellis#2003 - 2011#6#114 - 138#452#0
pat chambers#2011 - present#2#22 - 41#349#0
totals#1897 - present#116#1361 - 1066 - 1#561#0
