round#pick#player#position#college
1#14#chris williams#ot#vanderbilt
2#44#matt forte#rb#tulane
3#70#earl bennett#wr#vanderbilt
3#90#marcus harrison#dt#arkansas
4#120#craig steltz#s#lsu
5#142#zack bowman#cb#nebraska
5#158#kellen davis#te#michigan state
7#208#ervin baldwin#de#michigan state
7#222#chester adams#og#georgia
7#243#joey larocque#lb#oregon state
7#247#kirk barton#ot#ohio state
7#248#marcus monk#wr#arkansas
according to official website#according to official website#according to official website#according to official website#according to official website
