district#vacator#reason for change#successor#date successor seated
new mexico territory at - large#vacant#vacancy in term#charles p clever (d)#september 2 , 1867
arkansas 1st#vacant#arkansas re - admitted into the union#logan h roots (r)#june 22 , 1868
arkansas 2nd#vacant#arkansas re - admitted into the union#james m hinds (r)#june 22 , 1868
arkansas 3rd#vacant#arkansas re - admitted into the union#thomas boles (r)#june 22 , 1868
florida at - large#vacant#florida re - admitted into the union#charles m hamilton (r)#july 1 , 1868
north carolina 4th#vacant#north carolina re - admitted into the union#john t deweese (r)#july 6 , 1868
north carolina 7th#vacant#north carolina re - admitted into the union#alexander h jones (r)#july 6 , 1868
north carolina 3rd#vacant#north carolina re - admitted into the union#oliver h dockery (r)#july 13 , 1868
north carolina 6th#vacant#north carolina re - admitted into the union#nathaniel boyden (c)#july 13 , 1868
north carolina 1st#vacant#north carolina re - admitted into the union#john r french (r)#july 15 , 1868
louisiana 1st#vacant#louisiana re - admitted into the union#j hale sypher (r)#july 18 , 1868
louisiana 2nd#vacant#louisiana re - admitted into the union#james mann (d)#july 18 , 1868
louisiana 3rd#vacant#louisiana re - admitted into the union#joseph p newsham (r)#july 18 , 1868
louisiana 4th#vacant#louisiana re - admitted into the union#michel vidal (r)#july 18 , 1868
louisiana 5th#vacant#louisiana re - admitted into the union#w jasper blackburn (r)#july 18 , 1868
south carolina 1st#vacant#south carolina re - admitted into the union#benjamin f whittemore (r)#july 18 , 1868
south carolina 2nd#vacant#south carolina re - admitted into the union#christopher c bowen (r)#july 18 , 1868
south carolina 4th#vacant#south carolina re - admitted into the union#james h goss (r)#july 18 , 1868
north carolina 5th#vacant#north carolina re - admitted into the union#israel g lash (r)#july 20 , 1868
alabama 2nd#vacant#alabama re - admitted into the union#charles w buckley (r)#july 21 , 1868
alabama 3rd#vacant#alabama re - admitted into the union#benjamin w norris (r)#july 21 , 1868
alabama 4th#vacant#alabama re - admitted into the union#charles w pierce (r)#july 21 , 1868
alabama 5th#vacant#alabama re - admitted into the union#john b callis (r)#july 21 , 1868
alabama 6th#vacant#alabama re - admitted into the union#thomas haughey (r)#july 21 , 1868
alabama 1st#vacant#alabama re - admitted into the union#francis w kellogg (r)#july 22 , 1868
georgia 1st#vacant#georgia re - admitted into the union#joseph w clift (r)#july 25 , 1868
georgia 2nd#vacant#georgia re - admitted into the union#nelson tift (d)#july 25 , 1868
georgia 3rd#vacant#georgia re - admitted into the union#william p edwards (r)#july 25 , 1868
georgia 4th#vacant#georgia re - admitted into the union#samuel f gove (r)#july 25 , 1868
georgia 5th#vacant#georgia re - admitted into the union#charles h prince (r)#july 25 , 1868
georgia 7th#vacant#georgia re - admitted into the union#pierce m b young (d)#july 25 , 1868
north carolina 2nd#vacant#north carolina re - admitted into the union#david heaton (r)#july 25 , 1868
south carolina 1st#vacant#south carolina re - admitted into the union#manuel s corley (r)#july 25 , 1868
kentucky 3rd#elijah hise (d)#died may 8 , 1867#jacob golladay (d)#december 5 , 1867
pennsylvania 12th#charles denison (d)#died june 27 , 1867#george w woodward (d)#november 21 , 1867
missouri 3rd#thomas e noell (d)#died october 3 , 1867#james r mccormick (d)#december 17 , 1867
ohio 8th#cornelius s hamilton (r)#killed by insane son december 22 , 1867#john beatty (r)#february 5 , 1868
pennsylvania 13th#george w morgan (d)#lost contested election june 3 , 1868#columbus delano (r)#june 3 , 1868
pennsylvania 9th#thaddeus stevens (r)#died august 11 , 1868#oliver j dickey (r)#december 7 , 1868
pennsylvania 20th#darwin a finney (r)#died august 25 , 1868#s newton pettis (r)#december 7 , 1868
louisiana 2nd#james mann (d)#died august 26 , 1868#vacant#not filled this term
arkansas 2nd#james m hinds (r)#assassinated october 22 , 1868#james t elliott (r)#january 13 , 1869
