dish#callsign#network#resolution#city of license#official website
#xefe#televisa local#analog#nuevo laredo#
8#kgns#nbc#hd 1080i#laredo#pro8newscom
15#kgns - dt2#the cw#sd 480i#laredo#yourcwtvcom
16#kgns - dt3#telemundo#sd 480i#laredo#telemundocom
#klrn#pbs#analog#san antonio#klrnorg
#k10qk - d cp#carismatv#sd 480i#laredo#feypodercom
#xhbr#canal de las estrellas#hd 1080i#nuevo laredo#televisacom
12#ksat#abc#hd 720p#san antonio#ksatcom
13#kvtv#cbs#hd 1080i#laredo#cbscom
13#kvtv#cbs#sd 480i#laredo#cbscom
#knex#testing#hd 1080i#laredo#
#klmv#bvb#sd 480i#laredo#buenavnet
#klmv - ld2#infomercials#sd 480i#laredo#
#klmv - ld3#vida vision#sd 480i#laredo#buenavnet
#klmv - ld4#televida laredo#sd 480i#laredo#buenavnet
#xhlna#azteca 13#hd 1080i#nuevo laredo#tvaztecacom
#xhlna - tdt2#proyecto 40#hd 1080i#nuevo laredo#proyecto40.com
27#kldo#univision#hd 1080i#laredo#kldotvcom
#kldo - dt2#latv#sd 480i#laredo#ketftvcom
#kldo - dt3#dark#sd 480i#laredo#
#ketf#unimás#sd 480i#laredo#ketftvcom
39#ketf - cd2#fox / mynet#hd 720p#laredo#myfoxlaredocom
#xhlat#azteca 7#hd 1080i#nuevo laredo#tvaztecacom
39#kxof#fox#hd 720p#laredo#mylaredofoxcom
#kxof - cd2#mundofox#sd 480i#laredo#mundofoxcom
#k40nu - d#maranatha church tv#sd 480i#laredo#
#xhnat#multimedios plus#sd 480i#nuevo laredo#multimediostv
#xhnat - tdt2#smpte color bars#sd 480i#nuevo laredo#multimediostv
#xhnat - tdt3#smpte color bars#sd 480i#nuevo laredo#multimediostv
#xhlar#televisa regional#sd 480i#nuevo laredo#televisacom
