position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#cd tenerife#30#40#17#6#7#45#23#+ 22
2#atlético ceuta#30#38#17#4#9#51#35#+ 16
3#hércules cf#30#36#16#4#10#53#40#+ 13
4#cádiz cf#30#35#16#3#11#55#54#+ 1
5#ud las palmas#30#32#13#6#11#33#32#+ 1
6#levante ud#30#32#13#6#11#58#40#+ 18
7#ad plus ultra#30#31#15#1#14#58#41#+ 17
8#real murcia#30#31#13#5#12#45#39#+ 6
9#córdoba cf#30#30#14#2#14#40#34#+ 6
10#cd mestalla#30#30#12#6#12#55#48#+ 7
11#cd san fernando#30#27#9#9#12#33#37#- 4
12#cd málaga#30#26#10#6#14#42#52#- 10
13#cd castellón#30#24#8#8#14#36#50#- 14
14#real jaén#30#24#10#4#16#31#61#- 30
15#cf extremadura#30#23#9#5#16#31#63#- 32
16#rayo vallecano#30#21#8#5#17#38#55#- 17
