season#date#home team#result#away team#stadium
1999 / 2000#19 september 1999#bohemians#1 - 3#shamrock rovers#dalymount park
1999 / 2000#4 december 1999#shamrock rovers#0 - 1#bohemians#tolka park
1999 / 2000#9 march 2000#bohemians#0 - 0#shamrock rovers#dalymount park
2000 / 01#14 august 2000#shamrock rovers#0 - 0#bohemians#tolka park
2000 / 01#3 november 2000#bohemians#0 - 1#shamrock rovers#dalymount park
2000 / 01#28 january 2001#shamrock rovers#4 - 6#bohemians#morton stadium
2001 / 02#7 september 2001#bohemians#0 - 1#shamrock rovers#dalymount park
2001 / 02#9 november 2001#shamrock rovers#1 - 0#bohemians#richmond park
2001 / 02#15 february 2002#bohemians#1 - 1#shamrock rovers#dalymount park
2002 / 03#2 august 2002#bohemians#3 - 2#shamrock rovers#dalymount park
2002 / 03#20 october 2002#shamrock rovers#1 - 1#bohemians#tolka park
2002 / 03#13 december 2002#bohemians#3 - 2#shamrock rovers#dalymount park
2003#27 april 2003#bohemians#1 - 1#shamrock rovers#dalymount park
2003#1 september 2003#shamrock rovers#1 - 2#bohemians#richmond park
2003#22 september 2003#bohemians#2 - 1#shamrock rovers#dalymount park
2003#24 october 2003#shamrock rovers#0 - 0#bohemians#tolka park
2004#16 april 2004#bohemians#2 - 2#shamrock rovers#dalymount park
2004#12 june 2004#shamrock rovers#2 - 1#bohemians#dalymount park
2004#27 august 2004#bohemians#3 - 2#shamrock rovers#dalymount park
2004#5 november 2004#shamrock rovers#0 - 1#bohemians#tolka park
2005#18 march 2005#bohemians#1 - 1#shamrock rovers#dalymount park
2005#3 june 2005#shamrock rovers#1 - 2#bohemians#dalymount park
2005#2 september 2005#bohemians#1 - 3#shamrock rovers#dalymount park
2007#3 april 2007#bohemians#2 - 1#shamrock rovers#dalymount park
2007#29 june 2007#shamrock rovers#1 - 1#bohemians#tolka park
2007#17 september 2007#bohemians#0 - 2#shamrock rovers#dalymount park
2008#4 april 2008#shamrock rovers#0 - 1#bohemians#tolka park
2008#5 august 2008#bohemians#2 - 1#shamrock rovers#dalymount park
2008#26 september 2008#shamrock rovers#1 - 2#bohemians#tolka park
2009#20 march 2009#bohemians#2 - 0#shamrock rovers#dalymount park
2009#16 may 2009#shamrock rovers#2 - 1#bohemians#tallaght stadium
2009#26 july 2009#bohemians#0 - 0#shamrock rovers#dalymount park
2009#2 october 2009#shamrock rovers#1 - 0#bohemians#tallaght stadium
2010#9 april 2010#shamrock rovers#1 - 0#bohemians#tallaght stadium
2010#29 may 2010#bohemians#0 - 0#shamrock rovers#dalymount park
2010#8 august 2010#shamrock rovers#3 - 0#bohemians#tallaght stadium
2010#5 october 2010#bohemians#1 - 0#shamrock rovers#dalymount park
2011#15 april 2011#bohemians#1 - 1#shamrock rovers#dalymount park
2011#30 may 2011#shamrock rovers#1 - 0#bohemians#tallaght stadium
2011#5 august 2011#bohemians#0 - 1#shamrock rovers#dalymount park
2011#5 october 2011#shamrock rovers#1 - 1#bohemians#tallaght stadium
2012#30 march 2012#shamrock rovers#2 - 0#bohemians#tallaght stadium
2012#29 june 2012#bohemians#4 - 0#shamrock rovers#dalymount park
2012#10 september 2012#shamrock rovers#0 - 1#bohemians#tallaght stadium
2013#19 march 2013#bohemians#0 - 0#shamrock rovers#dalymount park
2013#17 may 2013#shamrock rovers#1 - 1#bohemians#tallaght stadium
