year#competition#venue#position#performance
1983#mediterranean games#casablanca , morocco#3rd#long jump
1987#world indoor championships#indianapolis , united states#8th#long jump
1987#european indoor championships#liãvin , france#6th#long jump
1987#mediterranean games#latakia , syria#1st#long jump
1988#european indoor championships#budapest , hungary#4th#long jump
1989#world indoor championships#budapest , hungary#5th#long jump
1989#european indoor championships#the hague , netherlands#4th#long jump
1992#european indoor championships#genoa , italy#7th#long jump
1992#european indoor championships#genoa , italy#9th#triple jump
1993#world indoor championships#toronto , canada#10th#long jump
1993#world indoor championships#toronto , canada#4th#triple jump
1993#world championships#stuttgart , germany#6th#triple jump
1997#mediterranean games#bari , italy#3rd#triple jump
