year#champion (seed)#score#runner - up (seed)#most valuable player
2012 - 13#south dakota state jackrabbits (1)#56 - 53#usd (3)#ashley eide , south dakota state
2011 - 12#south dakota state jackrabbits (1)#78 - 77 ot#umkc (3)#jennie sunnarborg , south dakota state
2010 - 11#south dakota state jackrabbits (3)#61 - 54#oakland (4)#kristin rotert , south dakota state
2009 - 10#south dakota state jackrabbits (3)#79 - 75 ot#oral roberts (1)#maria boever , south dakota state
2008 - 09#south dakota state jackrabbits (1)#79 - 69#oakland (2)#jennifer warkenthien , south dakota state
2007 - 08#oral roberts (4)#66 - 53#iupui (3)#elisha turek , oral roberts
2006 - 07#oral roberts (3)#72 - 55#oakland (1)#elisha turek , oral roberts
2005 - 06#oakland (6)#65 - 56#western illinois (1)#anne hafeli , oakland
2004 - 05#oral roberts (4)#48 - 42#umkc (7)#elisha turek , oral roberts
2003 - 04#valparaiso (2)#64 - 63#oral roberts (4)#leah cannon , oral roberts
2002 - 03#valparaiso (4)#48 - 46#oakland (6)#katie boone , valparaiso
2001 - 02#oakland (2)#52 - 40#valparaiso (1)#sarah judd , oakland
2000 - 01#oral roberts (2)#61 - 46#oakland (1)#krista ragan , oral roberts
1999 - 00#youngstown state (2)#73 - 57#valparaiso (4)#brianne kenneally , youngstown state
1998 - 99#oral roberts (4)#57 - 52#youngstown state (2)#krista ragan , oral roberts
1997 - 98#youngstown state (1)#78 - 69#valparaiso (2)#sarrah stricklett , valparaiso
1996 - 97#troy state (1)#89 - 75#youngstown state (2)#samantha tomlinson , troy state
1995 - 96#youngstown state (1)#53 - 43#buffalo (2)#shannon beach , youngstown state
1994 - 95#western illinois (1)#73 - 60#youngstown state (2)#oberon pitterson , western illinois
1993 - 94#wisconsin - green bay (2)#73 - 70#northern illinois (1)#e c hill , northern illinois
1992 - 93#northern illinois (1)#75 - 58#wisconsin - green bay (2)#dawn schirmacher , wisconsin - green bay
