res#record#opponent#method#event#round#time#location
loss#20 - 9 - 1 (1)#ruben villareal#ko (punches)#gladiator challenge : mega stars#1#2:30#lincoln , california , united states
loss#20 - 8 - 1 (1)#dave herman#tko (punches)#shark fights 6: stars & stripes#1#1:00#amarillo , texas , united states
win#20 - 7 - 1 (1)#ritch moss#submission (rear naked choke)#shark fights 4#1#2:48#lubbock , texas , united states
loss#19 - 7 - 1 (1)#ikuhisa minowa#submission (kneebar)#deep : gladiator#1#3:56#okayama , japan
win#19 - 6 - 1 (1)#bryan pardoe#ko (punches)#nlf : heavy hands#1#0:47#dallas , texas , united states
loss#18 - 6 - 1 (1)#james thompson#tko (punches)#pride 34#1#6:23#saitama , japan
win#18 - 5 - 1 (1)#kim min - soo#ko (punch)#hero 's 7#2#2:47#yokohama , japan
win#17 - 5 - 1 (1)#yoshihisa yamamoto#submission (rear naked choke)#hero 's 6#1#4:52#tokyo , japan
draw#16 - 5 - 1 (1)#ruben villareal#draw#king of the cage : predator#3#5:00#globe , arizona , united states
win#16 - 5 (1)#akebono#submission (guillotine choke)#hero 's 5#2#3:50#tokyo , japan
loss#15 - 5 (1)#yoshihiro nakao#decision (unanimous)#k - 1 premium 2004 dynamite#3#5:00#osaka , japan
nc#15 - 4 (1)#yoshihiro nakao#no contest (cut caused by accidental headbutt)#k - 1 mma romanex#1#1:19#saitama , japan
loss#15 - 4#gary goodridge#ko (head kick)#pride shockwave 2003#1#0:39#saitama , japan
loss#15 - 3#mark coleman#decision (unanimous)#pride 26#3#5:00#yokohama , japan
loss#15 - 2#hidehiko yoshida#technical submission (armbar)#pride 23#1#5:32#tokyo , japan
win#15 - 1#yoshihiro takayama#tko (punches)#pride 21#1#6:10#saitama , japan
win#14 - 1#ken shamrock#decision (split)#pride 19#3#5:00#saitama , japan
win#13 - 1#cyril abidi#submission (rear naked choke)#inoki bom - ba - ye 2001#2#0:33#saitama , japan
win#12 - 1#gilbert yvel#dq (eye gouging)#pride 16#1#7:27#osaka , japan
win#11 - 1#eric valdez#submission (choke)#unified shoot wrestling federation 5#1#0:49#amarillo , texas , united states
win#10 - 1#tank abbott#submission (rear naked choke)#ultimate ultimate 96#1#1:22#birmingham , alabama , united states
win#9 - 1#mark hall#submission (achilles lock)#ultimate ultimate 96#1#0:20#birmingham , alabama , united states
win#8 - 1#gary goodridge#submission (fatigue)#ultimate ultimate 96#1#11:19#birmingham , alabama , united states
win#7 - 1#mark hall#submission (forearm choke)#u - japan#1#5:29#japan
loss#6 - 1#mark coleman#tko (punches)#ufc 10#1#11:34#birmingham , alabama , united states
win#6 - 0#brian johnston#submission (elbow)#ufc 10#1#4:37#birmingham , alabama , united states
win#5 - 0#mark hall#tko (punches)#ufc 10#1#10:21#birmingham , alabama , united states
win#4 - 0#amaury bitetti#tko (punches)#ufc 9#1#9:22#detroit , michigan , united states
win#3 - 0#gary goodridge#submission (punches)#ufc 8#1#2:14#bayamón , puerto rico
win#2 - 0#sam adkins#tko (doctor stoppage)#ufc 8#1#0:48#bayamón , puerto rico
win#1 - 0#thomas ramirez#ko (punch)#ufc 8#1#0:08#bayamón , puerto rico
