event#time#nationality#date#meet#location
50 m freestyle#20.51#brazil#17 december 2010#world championships#dubai , united arab emirates
100 m freestyle#45.08#united states#19 december 2009#duel in the pool#manchester , united kingdom
200 m freestyle#1:40.80#canada#15 november 2009#world cup#berlin , germany
400 m freestyle#3:34.81#united states#22 february 2009#japan open#tokyo , japan
800 m freestyle#7:33.94#united states#19 december 2009#duel in the pool#manchester , united kingdom
1500 m freestyle#14:28.63#canada#8 august 2009#british grand prix#leeds , united kingdom
50 m backstroke#22.61#united states#22 november 2009#world cup#singapore , singapore
100 m backstroke#48.94#united states#18 december 2009#duel in the pool#manchester , united kingdom
200 m backstroke#1:46.68#united states#19 december 2010#world championships#dubai , united arab emirates
50 m breaststroke#25.70#brazil#14 november 2009#world cup#berlin , germany
100 m breaststroke#56.49#brazil#15 november 2009#world cup#berlin , germany
200 m breaststroke#2:02.92#united states#17 january 2004#world cup#berlin , germany
50 m butterfly#22.16#brazil#21 november 2009#world cup#singapore , singapore
100 m butterfly#48.80#united states#21 october 2013#world cup#doha , qatar
200 m butterfly#1:49.11#brazil#10 november 2009#world cup#stockholm , sweden
100 m individual medley#50.71#united states#15 december 2012#world championships#istanbul , turkey
200 m individual medley#1:49.63#united states#14 december 2012#world championships#istanbul , turkey
400 m individual medley#3:55.50#united states#16 december 2010#world championships#dubai , united arab emirates
450 m freestyle relay#1:25.28#crf rio de janeiro#20 august 2012#josé finkel trophy#são paulo , brazil
4100 m freestyle relay#3:03.30#united states#19 december 2009#duel in the pool#manchester , united kingdom
4200 m freestyle relay#6:49.58#united states#16 december 2010#world championships#dubai , united arab emirates
450 m medley relay#1:34.58#united states#26 march 2004#ncaa division i championships#east meadow , united states
4100 m medley relay#3:20.71#united states#18 december 2009#duel in the pool#manchester , united kingdom
