place#player#country#score#to par
1#ben curtis#united states#73 + 67 + 68 = 208#- 2
t2#j b holmes#united states#71 + 68 + 70 = 209#- 1
t2#henrik stenson#sweden#71 + 70 + 68 = 209#- 1
t4#sergio garcía#spain#69 + 73 + 69 = 211#+ 1
t4#pádraig harrington#ireland#71 + 74 + 66 = 211#+ 1
t4#charlie wi#south korea#70 + 70 + 71 = 211#+ 1
t7#andrés romero#argentina#69 + 78 + 65 = 212#+ 2
t7#jeev milkha singh#india#68 + 74 + 70 = 212#+ 2
t9#aaron baddeley#australia#71 + 71 + 71 = 213#+ 3
t9#steve flesch#united states#73 + 70 + 70 = 213#+ 3
t9#david toms#united states#72 + 69 + 72 = 213#+ 3
t9#camilo villegas#colombia#74 + 72 = 67 = 213#+ 3
