game#date#opponent#score#record
24#12 / 1 / 1979#philaelphia flyers#4 - 4#11 - 10 - 3
25#12 / 5 / 1979#montreal canadiens#3 - 2#12 - 10 - 3
26#12 / 7 / 1979#new york islanders#1 - 6#12 - 11 - 3
27#12 / 12 / 1979#colorado rockies#maple leaf gardens#13 - 11 - 3
28#12 / 15 / 1979#atlanta flames#8 - 1#14 - 11 - 3
29#12 / 17 / 1979#minnesota north stars#1 - 5#14 - 12 - 3
30#12 / 19 / 1979#los angeles kings#4 - 4#14 - 12 - 4
31#12 / 20 / 1979#boston bruins#0 - 10#14 - 13 - 4
32#12 / 22 / 1979#detroit red wings#2 - 1#15 - 13 - 4
33#12 / 23 / 1979#montreal canadiens#4 - 8#15 - 14 - 4
34#12 / 26 / 1979#washington capitals#2 - 8#15 - 15 - 4
35#12 / 27 / 1979#buffalo sabres#3 - 5#15 - 16 - 4
36#12 / 29 / 1979#winnipeg jets#6 - 1#16 - 16 - 4
