school#mascot#location#league#enrollment
carson#senators#carson city , nevada#sierra#2503
damonte ranch#mustangs#reno , nevada#sierra#1253
douglas#tigers#minden , nevada#sierra#1522
galena#grizzlies#reno , nevada#sierra#1510
hug#hawks#reno , nevada#high desert#1266
manogue#miners#reno , nevada#sierra#650
mcqueen#lancers#reno , nevada#high desert#1945
north valleys#panthers#reno , nevada#high desert#2227
reed#raiders#sparks , nevada#high desert#2464
reno#huskies#reno , nevada#high desert#1896
spanish springs#cougars#sparks , nevada#high desert#2186
wooster#colts#reno , nevada#sierra#1519
