series#season#title#directed by#written by#original air date
92#1#til death do us part - and make it soon#tony singletary#bill boulware#september 15 , 2003
93#2#squatter 's rights#tony singletary#andrea allen - wiley#september 22 , 2003
94#3#a plot of view#tony singletary#gary m goodrich#september 29 , 2003
95#4#mama , i'm back#gerren keith#stacey lyn evans#october 6 , 2003
96#5#the accidental therapist#tony singletary#stacey l mcclain - fields#october 13 , 2003
97#6#the mack is like wo!#tony singletary#sarah fitzgerald#october 20 , 2003
98#7#kimmie has two moms#tony singletary#michelle listenbee brown#november 3 , 2003
99#8#i never rapped for my father#tony singletary#vida spears#november 10 , 2003
100#9#foul ball#ken whittingham#bill boulware#november 17 , 2003
101#10#cheaters never prosper#tony singletary#dornita r lecount#november 24 , 2003
102#11#out with the old , in with the new#tony singletary#dornita r lecount#december 1 , 2003
103#12#school of hard knocks#tony singletary#gary m goodrich#january 12 , 2004
104#13#can two wrongs make a right#erma elzy - jones#sarah fitzgerald#february 9 , 2004
105#14#she 's positive#tony singletary#andrea wiley#february 16 , 2004
106#15#judge not a book#tony singletary#michelle listenbee brown#february 23 , 2004
107#16#practice what you preach#erma elzy - jones#stacey lyn evans#march 1 , 2004
108#17#could it be you (1)#tony singletary#stacey l mcclain - fields#april 26 , 2004
109#18#a little change never hurt anybody (2)#tony singletary#kellie griffin#may 3 , 2004
