week#date#opponent#result#stadium#record#attendance
1#september 15#miami dolphins#w 34 - 24#schaefer stadium#1 - 0#55006
2#september 22#new york giants#w 28 - 20#yale bowl#2 - 0#44082
3#september 29#los angeles rams#w 20 - 14#schaefer stadium#3 - 0#61279
4#october 6#baltimore colts#w 42 - 3#schaefer stadium#4 - 0#59502
5#october 13#new york jets#w 24 - 0#shea stadium#5 - 0#57825
6#october 20#buffalo bills#l 28 - 30#rich stadium#5 - 1#78935
7#october 27#minnesota vikings#w 17 - 14#metropolitan stadium#6 - 1#48177
8#november 3#buffalo bills#l 28 - 29#schaefer stadium#6 - 2#61279
9#november 10#cleveland browns#l 14 - 21#schaefer stadium#6 - 3#61279
10#november 17#new york jets#l 16 - 21#schaefer stadium#6 - 4#57115
11#november 24#baltimore colts#w 27 - 17#memorial stadium#7 - 4#34782
12#december 1#oakland raiders#l 26 - 41#oakland coliseum#7 - 5#50120
13#december 8#pittsburgh steelers#l 17 - 21#schaefer stadium#7 - 6#52107
14#december 15#miami dolphins#l 27 - 34#miami orange bowl#7 - 7#56920
