date#time#opponent#rank#site#result#attendance#winning pitcher#losing pitcher
feb 15 , 2004#1:30 pm#25 michigan state spartans#nr#usf softball field tampa , fl#w3 - 2 (8)#350#jenny gladding#jessica beech
feb 15 , 2004#6:0 pm#seton hall pirates#nr#usf softball field tampa , fl#w6 - 0#200#stacey stevens#casey mcdevitt
feb 16 , 2004#1:00 pm#hofstra pride#nr#usf softball field tampa , fl#w4 - 0#156#jenny gladding#adrienne clark
mar 11 , 2004#5:30 pm#michigan state spartans#21#titan softball complex fullerton , ca#w9 - 4#225#stacey stevens#katie joosten
mar 11 , 2004#10:00 pm#cal state fullerton titans#21#titan softball complex fullerton , ca#w2 - 0#233#jenny gladding#brooke weekley
mar 12 , 2004#4:00 pm#cal state northridge matador#21#matador diamond northridge , ca#w6 - 1#120#stacey stevens#kia fennell
mar 12 , 2004#6:00 pm#cal state northridge matador#21#matador diamond northridge , ca#w6 - 1#120#jenny gladding#jenny wheeler
mar 27 , 2004#4:00 pm#ole miss rebels#16#ole miss softball complex oxford , ms#w4 - 1#102#stacey stevens#mary jane callahan
mar 27 , 2004#4:00 pm#ole miss rebels#16#ole miss softball complex oxford , ms#w3 - 0#102#jenny gladding#dana brill
mar 28 , 2004#2:00 pm#ole miss rebels#16#ole miss softball complex oxford , ms#l0 - 1#141#mary jane callahan#jenny gladding
apr 7 , 2004#4:00 pm#13 florida state seminoles#3#seminole softball complex tallahassee , fl#l0 - 2#386#casey hunter#stacey stevens
apr 17 , 2004#1:00 pm#11 tennessee volunteers#12#tyson park knoxville , tn#l1 - 4#752#monica abbott#stacey stevens
apr 17 , 2004#3:00 pm#11 tennessee volunteers#12#tyson park knoxville , tn#l0 - 3#752#stacey jennings#amanda moore
apr 18 , 2004#1:00 pm#11 tennessee volunteers#12#tyson park knoxville , tn#l0 - 1 (10)#478#monica abbott#stacey stevens
apr 24 , 2004#2:00 pm#mississippi state bulldogs#17#mississippi state softball field starkville , ms#l4 - 7#342#melissa massey#stacey stevens
apr 24 , 2004#4:00 pm#mississippi state bulldogs#17#mississippi state softball field starkville , ms#l5 - 9#342#kelli miller#amanda moore
may 1 , 2004#1:00 pm#3 lsu tigers#20#tiger park baton rouge , la#l0 - 4 (5)#unknown#kristin schmidt#amanda knowles
may 2 , 2004#11:00 am#3 lsu tigers#20#tiger park baton rouge , la#l1 - 4#825#kristin schmidt#stacey stevens
may 2 , 2004#1:00 pm#3 lsu tigers#20#tiger park baton rouge , la#w3 - 1#825#stacey stevens#emily turner
may 20 , 2004#3:00 pm#cal state northridge matador#21#seminole softball complex tallahassee , fl#l1 - 2#unknown#kia fennell#stacey stevens
may 21 , 2004#10:00 am#long island blackbirds#21#seminole softball complex tallahassee , fl#w4 - 0#unknown#amanda moore#chelsea crosby
