name#pinnacle height#structure type#main use#country#town
sba towers tower hayneville#m (ft)#guyed mast#vhf - uhf transmission#u.s#hayneville , alabama
channel 32 limited partnership tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#hayneville , alabama
katc tower kaplan#m (ft)#guyed mast#vhf - uhf transmission#u.s#kaplan , louisiana
cosmos broadcasting tower egypt#m (ft)#guyed mast#vhf - uhf transmission#u.s#egypt , arkansas
raycom media tower mooringsport#m (ft)#guyed mast#vhf - uhf transmission#u.s#mooringsport , louisiana
pinnacle towers tower mooringsport#m (ft)#guyed mast#vhf - uhf transmission#u.s#mooringsport , louisiana
bold springs salem radio properties tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#bold springs , georgia
branch young broadcasting tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#branch , louisiana
ostankino tower#m (ft)#concrete tower#observation , vhf - uhf transmission#russia#moscow
klfy tv tower maxie#m (ft)#guyed mast#vhf - uhf transmission#u.s#maxie , louisiana
wcix / ch6 tv mast#m (ft) (orig. 609.6 m)#guyed mast#vhf - uhf transmission#u.s#homestead , florida
american towers tower eglin#m (ft)#guyed mast#vhf - uhf transmission#u.s#29045 , south carolina
cusseta richland towers tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#cusseta , georgia
cox radio tower braselton#m (ft)#guyed mast#vhf - uhf transmission#u.s#braselton , georgia
alabama telecasters tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#gordonsville , alabama
wimz - fm - tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#knoxville , tennessee
capitol broadcasting tower broadway#m (ft)#guyed mast#vhf - uhf transmission#u.s#broadway , north carolina
capitol broadcasting tower columbia#m (ft)#guyed mast#vhf - uhf transmission#u.s#columbia , north carolina
wtvm / wrbl - tv & wvrk - fm tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#cusseta , georgia
wave - mast#m (ft)#guyed mast#vhf - uhf transmission#u.s#la grange , kentucky
moody centex television tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#moody , texas
louisiana television broadcasting tower sunshine#m (ft)#guyed mast#vhf - uhf transmission#u.s#sunshine , louisiana
bullwinkle platform#m (ft)#offshore platform#oil drilling#u.s#manatee field , gulf of mexico
pinnacle towers tower addis#m (ft)#guyed mast#vhf - uhf transmission#u.s#addis , louisiana
richland towers tower cedar hill#m (ft)#guyed mast#vhf - uhf transmission#u.s#cedar hill , texas
willis tower (formerly sears tower)#m (ft)#skyscraper#office , observation , vhf - uhf transmission#u.s#chicago , illinois
world trade center , tower 1#m (ft)#skyscraper#office , vhf - uhf transmission#u.s#new york city
wafb tower baton rouge#m (ft)#guyed mast#vhf - uhf transmission#u.s#baton rouge , louisiana
waeo tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#starks , wisconsin
media venture tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#fincher , florida
media venture management tower fincher#m (ft)#guyed mast#vhf - uhf transmission#u.s#fincher , florida
orlando hearst argyle television tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#orange city , florida
pinnacle towers tower moody#m (ft)#guyed mast#vhf - uhf transmission#u.s#moody , texas
clear channel broadcasting tower rosinton#m (ft)#guyed mast#vhf - uhf transmission#u.s#rosinton , alabama
pacific and southern company tower lugoff#m (ft)#guyed mast#vhf - uhf transmission#u.s#lugoff , south carolina
young broadcasting tower garden city#m (ft)#guyed mast#vhf - uhf transmission#u.s#garden city , south dakota
gray television tower carlos#m (ft)#guyed mast#vhf - uhf transmission#u.s#carlos , texas
south dakota public broadcasting network tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#faith , south dakota
spectra site communications tower orange city#m (ft)#guyed mast#vhf - uhf transmission#u.s#orange city , florida
christmas brown road tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#christmas , florida
gray television tower madill#m (ft)#guyed mast#vhf - uhf transmission#u.s#madill , oklahoma
american tower christmas#m (ft)#guyed mast#vhf - uhf transmission#u.s#christmas , florida
richland towers bithlo#m (ft)#guyed mast#vhf - uhf transmission#u.s#bithlo , florida
northland television tower rhinelander#m (ft)#guyed mast#vhf - uhf transmission#u.s#rhinelander , wisconsin
gray television tower moody#m (ft)#guyed mast#vhf - uhf transmission#u.s#moody , texas
kfvs tv mast#m (ft)#guyed mast#vhf - uhf transmission#u.s#cape girardeau county , missouri
taipei 101#m (ft)#skyscraper#office , observation , vhf - uhf transmission#taiwan#taipei
cox radio tower verna#m (ft)#guyed mast#vhf - uhf transmission#u.s#verna , florida
wmtw tv mast#m (ft)#guyed mast#vhf - uhf transmission#u.s#baldwin , maine
american towers tower cedar hill#m (ft)#guyed mast#vhf - uhf transmission#u.s#cedar hill , texas
american towers tower oklahoma city#m (ft)#guyed mast#vhf - uhf transmission#u.s#oklahoma city , oklahoma
university of north carolina tower#m (ft)#guyed mast#vhf - uhf transmission#u.s#columbia , north carolina
