rank#heat#lane#name#nationality
1#21#5#jason lezak#usa
2#22#3#filippo magnini#italy
3#21#3#pieter van den hoogenband#netherlands
4#22#7#alain bernard#france
5#20#4#brent hayden#canada
5#21#4#simon burnett#great britain
7#22#6#eamon sullivan#australia
8#20#1#ryk neethling#south africa
9#22#5#césar cielo#brazil
10#20#5#stefan nystrand#sweden
11#22#8#albert subirats altes#venezuela
12#18#4#dominik meichtry#switzerland
12#21#7#ashley callus#australia
14#19#4#mitja zastrow#netherlands
15#22#4#roland schoeman#south africa
16#21#2#christian galenda#italy
17#22#2#evgeny lagunov#russia
18#17#2#ross davenport#great britain
19#17#1#tiago venancio#portugal
20#21#8#yuriy yegoshin#ukraine
21#20#7#andrey kapralov#russia
22#20#2#neil walker#usa
23#18#1#daisuke hosokawa#japan
24#19#3#jakob andkjær#denmark
25#16#3#cameron gibson#new zealand
26#19#6#nicolas oliveira#brazil
27#20#3#frédérick bousquet#france
28#15#4#jason dunford#kenya
28#16#6#paulius viktoravicius#lithuania
28#20#6#chen zuo#china
31#18#5#karel novy#switzerland
32#19#8#nabil kebbab#algeria
33#19#1#stanislau neviarouski#belarus
34#20#8#jens schreiber#germany
35#22#1#rolandas gimbutis#lithuania
36#17#4#yoris grand jean#belgium
37#17#5#peter mankoč#slovenia
38#21#6#salim iles#algeria
39#21#1#rick say#canada
40#18#3#huang shaohua#china
41#17#8#dominik koll#austria
41#19#2#matti rajakylä#finland
43#18#6#takamitsu kojima#japan
44#19#7#martin verner#czech republic
45#14#5#apostolos tsagkarakis#greece
46#18#7#oleksandr tsepukh#ukraine
47#18#2#george bovell#trinidad and tobago
48#19#5#michael schubert#germany
49#16#7#örn arnarson#iceland
50#17#6#octavian guţu#romania
51#17#7#marcus piehl#sweden
52#16#4#ryan pini#papua new guinea
53#15#1#mario delač#croatia
54#16#1#norbert trandafir#romania
55#16#2#shai liwnat#israel
56#16#8#romans miloslavskis#latvia
57#16#5#octavio alesi#venezuela
58#15#6#mark herring#new zealand
59#15#3#martin kutscher belgeri#uruguay
60#15#2#vitaly khan#kazakhstan
61#13#6#virdhawal khade#india
62#12#4#igor čerenšek#croatia
62#15#5#gabriel melconian#uruguay
64#14#6#namgyun lim#south korea
65#14#1#jacinto ayala#dominican republic
66#15#8#zhirong bryan tay#singapore
67#13#4#maximiliano schnettler#chile
68#13#2#david dunford#kenya
69#14#4#glenn surgeloose#belgium
70#15#7#alaxandr sklyar#kazakhstan
71#12#3#terrence haynes#barbados
72#14#3#alexandre bakhtiarov#cyprus
73#13#8#mohammad bidaryan#iran
74#13#1#josh laban#virgin islands
75#14#2#camilo becerra#colombia
76#1#3#roy - allan saul burch burch#bermuda
77#14#8#daniel william bego#malaysia
78#12#8#ankur poseria#india
79#14#7#carl probert#fiji
80#12#7#mario montoya#costa rica
81#12#2#martyn forde#barbados
82#12#5#kai yi russell ong#singapore
83#11#8#mikael koloyan#armenia
84#11#3#jan roodzant#aruba
85#11#4#petr romashkin#uzbekistan
86#13#5#basil kaaki#lebanon
87#11#7#nikola ustadvich#peru
