number#player#position#height#weight#home town
skaters#skaters#skaters#skaters#skaters#skaters
2#connar bass#rd#6'03#195lbs#calgary , ab
3#sean whelan#rd#6'01#200lbs#moose jaw , sk
5#parker evans - campbell#rw#6'05#197lbs#high river , ab
6#cole nichols#rd#6'02#195lbs#orland park , il
8#rob cameron#ld#5'11#180lbs#saskatoon , sk
13#seamus mcguire#rw#5'10#160lbs#victoria , bc
14#evan akkerman#rw#6'01#192lbs#flin flon , mb
18#danys chartrand#d#6'02#190lbs#winnipeg , mb
19#cameron blair#lw#6'00#190lbs#drake , sk
20#dillan mccombie#c#5'08#172lbs#flin flon , mb
21#brody robinson#rw#6'01#197lbs#red deer , ab
22#tyson empey#lw#6'00#171lbs#swift current , ab
23#austin calladine#lw#6'0#183lbs#saskatoon , sk
24#dean allison#lw#6'0#175lbs#surrey , bc
25#brock hounsell#d#6'01#197lbs#martensville , sk
26#brett boehm#rw#6'03#160lbs#martensville , sk
27#erik pedersen#rd#5'11#170lbs#airdrie , ab
28#paul soubry#c#6'03#188lbs#winnipeg , mb
39#cole mccaig#c#5'09#175lbs#flin flon , mb
41#aj kapcheck#rd#5'09#185lbs#mount prospect , il
44#landon heibert#c#5'10#175lbs#red deer , ab
47#brandon workun#ld#6'00#172lbs#calgary , ab
goalies#goalies#goalies#goalies#goalies#goalies
1#simon hofley#g#5'11#210lbs#ottawa , on
29#devin buffalo#g#6'00#180lbs#wetaskewin , ab
