team#stadium#capacity#opened#city
amsterdam admirals#amsterdam arena#51859#1996#amsterdam , the netherlands
amsterdam admirals#olympisch stadion#31600#1928#amsterdam , the netherlands
barcelona dragons#mini estadi#15276#1982#barcelona , spain
barcelona dragons#estadi olímpic lluís companys#56000#1929#barcelona , spain
berlin thunder#olympiastadion#76000#1936#berlin , germany
berlin thunder#f l jahn sportpark#19500#1951#berlin , germany
cologne centurions#rheinenergiestadion#50374#1923#cologne , germany
frankfurt galaxy#commerzbank - arena waldstadion (1925 - 2005)#52000#1925#frankfurt , germany
hamburg sea devils#aol arena#55989#2000#hamburg , germany
london / england monarchs#ashton gate#21500#1900#bristol , england
london / england monarchs#alexander stadium#7600#1976#birmingham , england
london / england monarchs#crystal palace national sports centre#15500#1964#london , england
london / england monarchs#stamford bridge#42449#1877#london , england
london / england monarchs#white hart lane#36240#1899#london , england
london / england monarchs#wembley stadium#80000#1923#london , england
rhein fire#ltu arena#51500#2004#düsseldorf , germany
rhein fire#arena aufschalke#61524#2001#gelsenkirchen , germany
rhein fire#rheinstadion#55900#1926#düsseldorf , germany
scottish claymores#hampden park#52500#1903#glasgow , scotland
scottish claymores#murrayfield stadium#67500#1925#edinburgh , scotland
