name#date of birth#height#weight#spike#block
stanislav dineykin#10.10.1973#215#101#353#342
sergei baranov#10.08.1981#208#94#355#343
pavel abramov#23.04.1979#198#89#347#336
alexei kazakov#18.03.1976#217#102#355#342
sergey tetyukhin#23.09.1975#197#89#345#338
vadim khamuttskikh#26.11.1969#196#85#342#331
alexander kosarev#30.09.1977#200#90#339#328
konstantin ushakov#24.03.1970#198#77#343#332
taras khtey#22.05.1982#205#82#345#335
andrey egorchev#08.02.1978#205#103#343#330
alexey verbov#31.01.1982#183#75#315#310
alexey kuleshov#24.02.1979#206#92#353#340
