sar no#builder#year#works no#firebox#driver diameter
843#baldwin#1929#60820#narrow#63 / 1600 mm
844#baldwin#1929#60821#narrow#60 / 1520 mm
845#baldwin#1929#60822#narrow#60 / 1520 mm
846#baldwin#1929#60823#narrow#63 / 1600 mm
847#baldwin#1929#60824#narrow#60 / 1520 mm
848#baldwin#1929#60825#narrow#63 / 1600 mm
849#baldwin#1929#60826#narrow#60 / 1520 mm
850#baldwin#1929#60827#narrow#60 / 1520 mm
868#hohenzollern#1928#4653#narrow#63 / 1600 mm
869#hohenzollern#1928#4654#narrow#63 / 1600 mm
870#hohenzollern#1928#4655#narrow#60 / 1520 mm
871#hohenzollern#1928#4656#narrow#60 / 1520 mm
872#hohenzollern#1928#4657#narrow#60 / 1520 mm
873#hohenzollern#1928#4658#narrow#63 / 1600 mm
874#henschel#1930#21749#wide#63 / 1600 mm
875#henschel#1930#21750#wide#63 / 1600 mm
876#henschel#1930#21751#wide#60 / 1520 mm
877#henschel#1930#21752#wide#60 / 1520 mm
878#henschel#1930#21753#wide#63 / 1600 mm
